date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,c6h6,co,no,no2,nox,o3,so2
2015-12-30,272.291.666.666.667,290.416.666.666.667,79.375,NA,933.541.666.666.667,1.080.625,17.5,6.7,0,85,37718,225.356.593.668.805,0.67,0.47,10.33,19.04,34.5,20,4.88
2015-12-31,271.041.666.666.667,252.958.333.333.333,760.416.666.666.667,NA,867.291.666.666.667,110.895.833.333.333,16.7,6.3,0,75,33379,224.692.171.724.737,0.8,0.53,8.62,15.62,28.33,21.46,4.79
2016-01-01,2.3,287.895.833.333.333,87.5,NA,580.416.666.666.667,104.541.666.666.667,15.8,7,0,11,4139,265.764.677.458.323,0.66,0.37,2.5,7.83,11.46,53.25,5.33
2016-01-02,257.291.666.666.667,297.645.833.333.333,684.791.666.666.667,NA,678.958.333.333.333,121.520.833.333.333,16.7,6.2,0,12,5728,209.497.206.703.911,0.61,0.36,2.58,9.88,13.5,50.67,5.11
2016-01-03,355.625,288.145.833.333.333,643.333.333.333.333,NA,467.708.333.333.333,10.275,15.1,4.5,0,8,3759,212.822.559.191.274,0.63,0.47,10.54,17.92,33.62,29.71,NA
2016-01-04,190.833.333.333.333,291.729.166.666.667,769.375,NA,284.375,12.075,14.7,9.3,1.3,110,41142,267.366.681.250.304,0.61,0.43,8.65,14.74,27.87,38.57,1.82
2016-01-05,177.708.333.333.333,254.083.333.333.333,721.875,NA,855.833.333.333.333,9.125,15.6,5,0,74,34207,216.329.990.937.527,0.6,0.3,1.17,3.75,5.54,68.88,1
2016-01-06,441.875,287.541.666.666.667,533.333.333.333.333,NA,740.833.333.333.333,1.014.375,13.6,5.4,0,6,3030,198.019.801.980.198,0.61,0.35,3.88,8,13.46,54.21,1.54
2016-01-07,413.125,2.840.625,606.041.666.666.667,NA,647.083.333.333.333,1.480.625,20.2,7.2,0,81,31960,253.441.802.252.816,0.65,0.44,9.33,16.92,31.29,32.92,1.83
2016-01-08,413.125,241.125,695.208.333.333.333,NA,1.033.125,162.875,21.6,11.1,0,73,30186,241.833.962.764.195,0.71,0.45,10.25,17.46,33,39.92,2.42
2016-01-09,2.375,261.166.666.666.667,685.833.333.333.333,NA,634.166.666.666.667,141.520.833.333.333,19.9,9.5,0,18,14659,12.279.145.917.184,0.6,0.33,2.29,7.21,10.71,65.96,1.88
2016-01-10,5.2625,2.436.875,618.541.666.666.667,NA,834.583.333.333.333,148.354.166.666.667,18.1,7.3,0,5,4308,116.063.138.347.261,0.6,0.3,1.29,04.08,5.83,78.04,1.54
2016-01-11,635.416.666.666.666,261.083.333.333.333,50.375,NA,726.875,155.395.833.333.333,18.7,10,0,90,43737,205.775.430.413.609,0.6,0.31,01.08,2.92,4.62,74.67,1
2016-01-12,464.166.666.666.667,3.034.375,436.041.666.666.667,NA,109.625,123.854.166.666.667,15.6,9.5,0,73,35930,203.172.836.070.136,0.6,0.45,7.14,20.23,31.05,50.96,1.64
2016-01-13,279.375,282.083.333.333.333,632.708.333.333.333,NA,729.791.666.666.667,908.333.333.333.333,14.2,4.2,0,55,28003,196.407.527.764.882,0.67,0.5,13.83,22.58,43.33,48.17,4.25
2016-01-14,284.375,307.375,631.875,NA,534.583.333.333.333,109.916.666.666.667,15.5,6.1,0,62,29356,211.200.436.026.707,0.6,0.41,5.71,18.83,27.42,47.33,2.83
2016-01-15,274.583.333.333.333,300.75,65.5,NA,406.875,919.791.666.666.667,11.7,4.6,0,70,29996,233.364.448.593.146,0.6,0.3,2.67,5.42,9.42,76.67,1.75
2016-01-16,262.291.666.666.667,300.916.666.666.667,334.791.666.666.667,NA,120.854.166.666.667,771.041.666.666.667,13.6,3.4,0,18,9760,184.426.229.508.197,0.64,0.39,7,21.71,31.92,47.92,2.33
2016-01-17,261.875,295.375,51.75,NA,115.145.833.333.333,684.583.333.333.333,12.3,1.9,0,5,3932,127.161.749.745.677,0.67,0.45,15.39,26.22,49.33,35.09,3.45
2016-01-18,250.833.333.333.333,268.791.666.666.667,619.583.333.333.333,NA,850.416.666.666.667,8.675,13.5,5.2,0,76,33536,22.662.213.740.458,0.61,0.4,6,15.73,24.41,42.35,2.26
2016-01-19,255.208.333.333.333,285.583.333.333.333,74.75,NA,1.091.875,734.375,13.3,3.3,0,72,32155,2.239.154.097.341,0.69,0.51,19.08,28.96,57.83,27.04,04.04
2016-01-20,260.208.333.333.333,279.604.166.666.667,702.708.333.333.333,NA,111.083.333.333.333,872.708.333.333.333,16.2,4.7,0,11,4911,223.986.968.030.951,0.66,0.48,15.12,25.42,48.21,30.12,3.12
2016-01-21,257.083.333.333.333,2.786.875,756.666.666.666.667,NA,111.25,802.083.333.333.333,15.2,4.2,0,89,41947,212.172.503.397.144,0.92,0.63,32.71,30.38,80,13.92,2.29
2016-01-22,287.916.666.666.667,283.375,819.166.666.666.667,NA,642.916.666.666.667,900.208.333.333.333,15.5,4.5,0,81,32563,24.874.857.967.632,0.97,0.6,19.79,25.79,55.58,19.67,1.21
2016-01-23,245.625,284.125,784.583.333.333.333,NA,109.041.666.666.667,109.458.333.333.333,17.6,7.2,0,11,6866,160.209.729.099.913,0.66,0.5,8.58,19.62,32.33,29.29,1
2016-01-24,165.833.333.333.333,259.520.833.333.333,810.625,NA,397.083.333.333.333,111.541.666.666.667,14.7,7.7,0,5,2954,16.926.201.760.325,0.64,0.48,10.5,21.25,36.67,42.42,1.13
2016-01-25,253.541.666.666.667,271.75,84.5,NA,862.083.333.333.333,128.104.166.666.667,16.7,9.3,0,91,46101,19.739.268.128.674,0.69,0.48,15,23.54,46.04,34.96,02.04
2016-01-26,219.375,2.810.625,846.666.666.666.667,NA,922.291.666.666.667,121.395.833.333.333,16.7,8.7,0,84,35529,236.426.581.102.761,0.71,0.52,15.42,22.71,45.71,28.12,02.04
2016-01-27,2.8375,282.375,82.625,NA,119.895.833.333.333,108.166.666.666.667,17.2,5.2,0,77,35593,216.334.672.547.973,0.84,0.56,23.67,25.38,61.33,29.62,2.96
2016-01-28,285.208.333.333.333,280.770.833.333.333,823.125,NA,112.041.666.666.667,112.333.333.333.333,17.3,6.3,0,65,30069,216.169.476.869.866,0.68,0.48,12.58,22.33,41.21,25.46,1.95
2016-01-29,240.416.666.666.667,306.708.333.333.333,759.583.333.333.333,NA,47.875,117.520.833.333.333,15.3,7.7,0,54,27702,194.931.773.879.142,0.76,0.52,16.92,22.96,48.21,25.62,3.17
2016-01-30,268.958.333.333.333,316.875,710.833.333.333.333,NA,104.041.666.666.667,116.083.333.333.333,17.3,6.8,0,15,8603,174.357.782.169.011,0.64,0.45,9.79,16.5,31,30.54,2.92
2016-01-31,284.375,2.968.125,736.666.666.666.667,NA,937.916.666.666.667,1.050.625,16.4,5.7,0,6,5191,115.584.665.767.675,0.67,0.4,10.62,14.75,30.42,32.21,2.54
2016-02-01,3.2625,290.791.666.666.667,74.875,NA,134.979.166.666.667,1.300.625,20.2,7.4,0,115,47706,241.059.824.759.988,0.77,0.57,27.33,27.83,69.38,18.04,5
2016-02-02,2.15,246.333.333.333.333,821.666.666.666.667,NA,117.645.833.333.333,114.145.833.333.333,17.5,8,0,94,39358,238.833.274.048.478,0.6,0.4,6.82,17.32,27.45,38.5,3.78
2016-02-03,241.875,288.166.666.666.667,744.375,NA,122.375,126.979.166.666.667,18.3,7.7,0,90,36656,245.525.971.191.619,0.63,0.43,11.92,22,39.75,43.86,2.92
2016-02-04,280.625,290.479.166.666.667,591.458.333.333.333,NA,142.645.833.333.333,901.875,14.6,5,0,79,39514,199.929.139.039.328,0.74,0.52,19.71,28.25,58.04,39.54,4.79
2016-02-05,349.583.333.333.333,276.770.833.333.333,62.25,NA,139.166.666.666.667,911.875,16.2,3.7,0,85,44320,191.787.003.610.108,0.74,0.56,14.38,26.71,48.17,31.96,5.88
2016-02-06,208.125,264.229.166.666.667,788.125,NA,875.416.666.666.667,10.2375,16.8,6.1,0,27,15546,173.678.116.557.314,0.61,0.39,5.92,12.12,20.79,58.75,6.88
2016-02-07,293.541.666.666.667,239.166.666.666.667,683.333.333.333.333,NA,82.125,110.208.333.333.333,13.6,7.1,0.8,11,6564,167.580.743.449.116,0.63,0.48,17.38,23,49.17,40.46,5.87
2016-02-08,274.791.666.666.667,280,631.041.666.666.667,NA,143.25,107.520.833.333.333,19,3.7,0,150,55302,271.237.929.912.119,0.64,0.41,10.71,13.29,29.62,55.42,5.17
2016-02-09,537.291.666.666.667,265.229.166.666.667,56.625,NA,93,156.020.833.333.333,19.7,7.5,0,116,48641,23.848.193.910.487,0.6,0.38,6.17,10.62,19.92,68.54,5.71
2016-02-10,451.666.666.666.667,1.970.625,581.458.333.333.333,NA,1.024.375,1.399.375,17.8,10.7,0.1,127,55329,229.536.048.003.759,0.68,0.48,13.29,20.96,40.92,38.29,6
2016-02-11,1.375,176.791.666.666.667,922.291.666.666.667,NA,381.041.666.666.667,1.126.875,14.3,8.1,1.5,104,55581,187.114.301.649.844,0.61,0.45,10.17,15.75,31.38,30.92,2.18
2016-02-12,327.916.666.666.667,260.083.333.333.333,824.166.666.666.667,NA,875.208.333.333.333,133.625,19.6,8.7,0.1,87,38339,226.922.976.603.459,0.61,0.4,06.04,9.38,18.54,49.71,2.79
2016-02-13,369.166.666.666.667,223.416.666.666.667,70.25,NA,142.583.333.333.333,166.416.666.666.667,23.6,10.6,6.1,37,23831,155.259.955.520.121,0.6,0.4,4.42,5.29,11.79,73.96,3.62
2016-02-14,348.958.333.333.333,2.119.375,633.125,NA,156.208.333.333.333,13.25,18.2,8.2,2.6,9,4699,191.530.112.789.955,0.6,0.42,7.73,12.68,23.95,56.13,2.52
2016-02-15,302.916.666.666.667,256.958.333.333.333,633.125,NA,164.541.666.666.667,989.375,14.3,6.7,0,161,64064,251.311.188.811.189,0.65,0.45,13.62,20,40.58,51.25,2.73
2016-02-16,250.625,286.125,510.625,NA,169.208.333.333.333,740.625,13.4,0.6,0,131,54249,241.479.105.605.633,0.6,0.42,6.21,11.08,20.29,63,3.21
2016-02-17,404.583.333.333.333,295.625,508.958.333.333.333,NA,1.725.625,653.125,11.4,3,0,102,48148,211.846.805.682.479,0.61,0.48,12,26.04,43.83,39.62,3.64
2016-02-18,228.333.333.333.333,274.645.833.333.333,567.083.333.333.333,NA,846.875,720.833.333.333.333,12.4,2.4,0,115,51226,224.495.373.443.173,0.6,0.48,9,20.67,34,40.88,1.17
2016-02-19,266.041.666.666.667,272.770.833.333.333,721.041.666.666.667,NA,155.875,760.625,14,3.2,0,121,56874,21.275.099.342.406,0.67,0.51,13,22.67,42.25,41,2.21
2016-02-20,330.208.333.333.333,2.803.125,656.666.666.666.667,NA,175,792.291.666.666.667,15.4,2.4,0,27,17741,152.189.842.737.163,0.62,0.48,10.96,24.25,40.38,43.96,3.29
2016-02-21,355.208.333.333.333,268.145.833.333.333,574.166.666.666.667,NA,145.458.333.333.333,101.770.833.333.333,17.9,3.7,0,23,12462,184.561.065.639.544,0.65,0.54,19.38,30.75,60.17,34.88,6.79
2016-02-22,217.916.666.666.667,251.979.166.666.667,619.375,NA,141.208.333.333.333,136.645.833.333.333,18.9,7,0,207,72499,285.521.179.602.477,0.65,0.5,14.29,23,44.54,32.58,3.92
2016-02-23,228.333.333.333.333,2.665.625,717.916.666.666.667,NA,169.25,112.020.833.333.333,19.6,5.8,0,145,56080,258.559.201.141.227,0.61,0.47,12.38,18.71,37.25,47,4.5
2016-02-24,285.416.666.666.667,272.625,729.166.666.666.667,NA,158.458.333.333.333,1.121.875,17.4,6,0,158,63939,247.110.527.221.258,0.6,0.43,7.88,13.04,24.79,54.17,3.22
2016-02-25,330.833.333.333.333,273.020.833.333.333,642.291.666.666.667,NA,186.833.333.333.333,122.291.666.666.667,18,6.4,0,146,63228,230.910.356.171.316,0.61,0.44,6.17,11.83,20.96,56.58,2.38
2016-02-26,219.791.666.666.667,255.520.833.333.333,67,NA,121.083.333.333.333,110.895.833.333.333,16.3,7.5,0,122,49422,246.853.627.938.975,0.6,0.42,5.75,10.92,19.5,70.12,6.42
2016-02-27,372.083.333.333.333,151.979.166.666.667,815.208.333.333.333,NA,1.018.125,101.416.666.666.667,13.7,6.3,20,16,10253,156.051.887.252.511,0.6,0.42,5.29,8.21,16.04,69.46,05.04
2016-02-28,384.791.666.666.667,126.479.166.666.667,703.125,NA,164.041.666.666.667,103.479.166.666.667,14.8,6,0.6,11,6341,173.474.215.423.435,0.6,0.41,4.79,6.92,14.17,73.33,2.83
2016-02-29,423.125,245.875,518.333.333.333.333,NA,168.479.166.666.667,12.2,18.8,6.7,0,142,59372,239.169.979.114.734,0.61,0.46,12.73,19.73,38.73,54.68,1.78
2016-03-01,262.916.666.666.667,308.645.833.333.333,441.458.333.333.333,NA,196.333.333.333.333,118.333.333.333.333,18.6,6.5,0,151,66028,228.690.858.423.699,0.6,0.4,06.08,8.92,18,69.21,3
2016-03-02,401.666.666.666.667,282.395.833.333.333,483.125,NA,165.416.666.666.667,139.791.666.666.667,19.5,8.9,0,127,53228,23.859.622.754.941,0.6,0.4,4.46,4.58,11.25,79.67,3.17
2016-03-03,414.166.666.666.667,312.145.833.333.333,449.791.666.666.667,NA,192.833.333.333.333,130.229.166.666.667,18.5,9.2,0,112,47483,235.873.891.708.611,0.6,0.44,6.17,11.58,20.83,69.62,5.13
2016-03-04,408.125,267.416.666.666.667,732.708.333.333.333,NA,192.770.833.333.333,114.104.166.666.667,16.3,6.7,0,126,54049,233.121.796.888.009,0.6,0.4,4.29,04.08,10.5,78.71,5.5
2016-03-05,439.375,308.604.166.666.667,467.916.666.666.667,NA,201.854.166.666.667,12.375,16.2,8.3,0,26,12996,200.061.557.402.278,0.6,0.42,5.29,7.96,15.88,67.83,4.71
2016-03-06,324.166.666.666.667,267.479.166.666.667,592.916.666.666.667,NA,188.75,952.291.666.666.667,14.1,6,0,10,6679,14.972.301.242.701,0.6,0.44,8.42,15.92,28.33,59.33,5.79
2016-03-07,260.625,250.083.333.333.333,598.125,NA,205.604.166.666.667,100.041.666.666.667,14.6,4.6,0,184,68273,26.950.624.697.904,0.6,0.45,7.12,14.88,25.38,57.25,3.43
2016-03-08,327.708.333.333.333,181.083.333.333.333,671.458.333.333.333,NA,198.958.333.333.333,105.333.333.333.333,14.4,7,0,125,53650,232.991.612.301.957,0.61,0.52,16,23.21,47.38,36.38,3.58
2016-03-09,2.275,278.479.166.666.667,708.541.666.666.667,NA,619.166.666.666.667,7.8375,11.1,4.1,0.3,95,46620,203.775.203.775.204,0.6,0.46,8.21,15,26.96,57.79,2.46
2016-03-10,312.083.333.333.333,290.791.666.666.667,566.666.666.666.667,NA,202.604.166.666.667,888.125,15.6,4.1,0,114,55312,206.103.557.998.264,0.61,0.51,12.21,21.92,40.38,47.92,2.33
2016-03-11,260.833.333.333.333,255.375,618.958.333.333.333,NA,219.416.666.666.667,966.041.666.666.667,15.4,4.7,0,106,48131,220.232.282.728.387,0.62,0.43,5.5,10.25,18.38,70.58,01.04
2016-03-12,3.025,2.744.375,628.958.333.333.333,NA,217.708.333.333.333,970.416.666.666.667,15.5,4.9,0,28,19668,142.363.229.611.552,0.6,0.47,5.88,13.58,21.92,74.54,1.33
2016-03-13,334.375,249.583.333.333.333,629.166.666.666.667,NA,208.791.666.666.667,952.083.333.333.333,15.2,4.7,0,16,8940,178.970.917.225.951,0.6,0.56,6.32,20.91,30.45,59.04,1.95
2016-03-14,260.416.666.666.667,203.625,746.875,NA,133.270.833.333.333,101.166.666.666.667,14.7,5.6,0,156,66511,234.547.668.806.664,0.6,0.55,4.54,12.71,19.38,54.29,2.25
2016-03-15,242.916.666.666.667,307.729.166.666.667,76.75,NA,770.833.333.333.333,997.916.666.666.667,14.2,7.4,0.1,105,49230,213.284.582.571.603,0.61,0.52,3.58,10.88,16.17,56.62,3.12
2016-03-16,284.166.666.666.667,207.166.666.666.667,748.541.666.666.667,NA,133.875,9.7625,15.1,6.7,8.6,100,52339,191.062.114.293.357,0.6,0.52,06.04,15.21,24.04,47.21,2.5
2016-03-17,238.125,200.541.666.666.667,761.875,NA,885.416.666.666.667,926.458.333.333.333,12.7,6.9,2,98,48944,200.228.832.951.945,0.63,0.55,8,12.33,24.17,52.67,3
2016-03-18,239.166.666.666.667,261.895.833.333.333,808.958.333.333.333,NA,176.833.333.333.333,10.0125,14.7,5.1,0,94,47482,197.969.756.960.532,0.65,0.56,3.96,16.08,21.92,56.38,3.42
2016-03-19,202.083.333.333.333,176,853.958.333.333.333,NA,771.458.333.333.333,119.416.666.666.667,15.2,8.7,1.1,36,21094,17.066.464.397.459,0.6,0.52,2.58,9.25,12.92,70.29,3.71
2016-03-20,220.625,167.833.333.333.333,861.666.666.666.667,NA,192.479.166.666.667,12.625,16.5,9.3,8.4,13,9542,136.239.782.016.349,0.6,0.52,3.96,12.58,18.54,54.88,4.46
2016-03-21,233.125,230.854.166.666.667,833.541.666.666.667,NA,163.645.833.333.333,118.708.333.333.333,15.7,8.7,0,127,59686,212.780.216.466.173,0.61,0.4,7.62,14,25.12,49.04,3.64
2016-03-22,285.833.333.333.333,271.416.666.666.667,766.041.666.666.667,NA,169.708.333.333.333,12.4625,17.4,9.1,0,82,38516,212.898.535.673.486,0.61,0.23,3,11.22,15.39,71.88,2.83
2016-03-23,390.416.666.666.667,253.416.666.666.667,581.666.666.666.667,NA,222.75,123.291.666.666.667,19,7,0,74,36251,204.132.299.798.626,0.6,0.25,5.21,14.33,22.12,70.58,1.96
2016-03-24,383.125,2.629.375,70,NA,247.208.333.333.333,11.3125,16.1,5.2,0,68,37751,180.127.678.736.987,0.6,0.27,2.46,11.92,15.25,69.75,1.5
2016-03-25,2.275,204.354.166.666.667,819.791.666.666.667,NA,188.458.333.333.333,114.770.833.333.333,16.6,7,0.4,7,5849,119.678.577.534.621,0.6,0.25,1.58,8.12,10.58,74.5,1.54
2016-03-26,2.9875,250.979.166.666.667,821.875,NA,199.125,130.125,17.7,7.6,0,25,17796,140.481.006.967.858,0.6,0.24,2.57,9.3,13,67.78,2.3
2016-03-27,265.833.333.333.333,2.029.375,78.875,NA,187.104.166.666.667,127.895.833.333.333,16.8,8.1,0,12,8280,144.927.536.231.884,0.6,0.24,2.33,10.17,13.92,56.08,2.17
2016-03-28,231.041.666.666.667,281.041.666.666.667,707.291.666.666.667,NA,152.104.166.666.667,137.041.666.666.667,21.3,8.2,0,6,4485,133.779.264.214.047,0.63,0.29,10.73,18.86,35.05,46.35,2.61
2016-03-29,359.791.666.666.667,259.25,655.625,NA,242.333.333.333.333,151.145.833.333.333,21.1,8.6,0,78,40236,193.856.248.135.998,0.6,0.25,04.04,16.54,22.42,61.29,2.71
2016-03-30,204.166.666.666.667,2.273.125,80.625,NA,227.416.666.666.667,137.666.666.666.667,20.8,9.5,0,77,40177,191.651.940.164.771,0.6,0.28,05.08,18.58,26.04,67,4.79
2016-03-31,373.958.333.333.333,205.416.666.666.667,664.375,NA,228.020.833.333.333,154.020.833.333.333,21.1,10.3,0,64,32672,19.588.638.589.618,0.61,0.25,2.96,12.54,16.96,59.79,3.25
2016-04-01,251.458.333.333.333,239.166.666.666.667,837.708.333.333.333,NA,605.416.666.666.667,110.979.166.666.667,13.6,8.2,13.5,44,18730,234.917.245.061.399,0.61,0.29,4.88,15.33,22.33,46.12,3.67
2016-04-02,199.791.666.666.667,280.479.166.666.667,748.541.666.666.667,NA,1.440.625,11.7625,18,6.7,0,28,16625,168.421.052.631.579,0.6,0.25,2.83,11.29,15.62,70.42,3.42
2016-04-03,2.7,254.125,825.833.333.333.333,NA,175.770.833.333.333,12.6625,16.9,7.3,0,7,3736,187.366.167.023.555,0.6,0.3,5.38,15.25,23.21,71.21,5
2016-04-04,200.833.333.333.333,204.625,86.75,NA,1.149.375,137.583.333.333.333,17.5,9.4,3.7,70,35341,198.070.230.044.424,0.6,0.29,5.96,19.67,28.46,56.46,5.67
2016-04-05,355.416.666.666.667,1.500.625,895.833.333.333.333,NA,493.333.333.333.333,140.395.833.333.333,15.5,11,10.5,36,18969,189.783.330.697.454,0.6,0.28,4.42,12.83,19.38,43.71,4.45
2016-04-06,267.916.666.666.667,273.333.333.333.333,754.583.333.333.333,NA,2.411.875,147.604.166.666.667,20.7,9.9,0,59,31837,185.318.968.495.775,0.6,0.22,2.79,10.75,14.83,68.79,4.54
2016-04-07,314.375,229,681.458.333.333.333,NA,276.375,143.916.666.666.667,18,10.2,0,42,24324,172.668.968.919.586,0.6,0.2,03.08,10.62,14.92,72.83,4.5
2016-04-08,257.916.666.666.667,206.479.166.666.667,745.208.333.333.333,NA,186.604.166.666.667,1.078.125,14.1,6.4,2.2,38,20688,183.681.361.175.561,0.6,0.21,1.58,5,7.17,80.88,4.46
2016-04-09,4.25,2.721.875,627.708.333.333.333,NA,277.729.166.666.667,122.708.333.333.333,18,8.2,0,17,11323,150.136.889.516.912,0.6,0.25,3.17,12.58,17.21,72.17,5.67
2016-04-10,285.208.333.333.333,256.145.833.333.333,812.083.333.333.333,NA,227.458.333.333.333,130.625,17.8,8.5,0,8,6246,128.081.972.462.376,0.6,0.25,3,11.96,16.46,76.5,5.38
2016-04-11,303.333.333.333.333,249.125,76.875,NA,2.728.125,144.229.166.666.667,20.5,9,0.1,87,42193,206.195.340.459.318,0.6,0.24,4.33,12.46,18.96,75.71,5.25
2016-04-12,255.208.333.333.333,230.333.333.333.333,792.708.333.333.333,NA,266.020.833.333.333,142.125,20.3,8.6,0,72,33221,216.730.381.385.268,0.6,0.26,4.61,11.61,18.3,69.13,3.61
2016-04-13,316.041.666.666.667,2.645.625,588.333.333.333.333,NA,263.041.666.666.667,1.628.125,23,9.5,0,42,19164,219.160.926.737.633,0.63,0.27,9.46,17.46,31.67,67.67,1.96
2016-04-14,354.166.666.666.667,260.625,610.833.333.333.333,NA,297.604.166.666.667,1.548.125,22.4,9.7,0,60,33320,180.072.028.811.525,0.6,0.25,04.04,12.83,18.83,75.46,2.54
2016-04-15,273.958.333.333.333,224.458.333.333.333,798.541.666.666.667,NA,258.5,146.104.166.666.667,20,8.9,0,53,25979,20.401.093.190.654,0.6,0.24,2.46,8.25,11.79,71.5,2.79
2016-04-16,3.9375,265.416.666.666.667,697.291.666.666.667,NA,288.291.666.666.667,170.229.166.666.667,22.8,9.9,0,15,11224,133.642.195.295.795,0.6,0.2,1.5,5.21,7.21,76.75,1.92
2016-04-17,362.291.666.666.667,204.854.166.666.667,626.041.666.666.667,NA,251.895.833.333.333,181.708.333.333.333,24.5,12.8,0,3,2370,126.582.278.481.013,0.61,0.24,4,12.12,18,65.29,1.75
2016-04-18,262.083.333.333.333,208.291.666.666.667,761.875,NA,292.541.666.666.667,141.604.166.666.667,18.8,9.7,0,55,28468,193.199.381.761.978,0.6,0.26,5.33,19.08,26.92,66.42,2
2016-04-19,250.416.666.666.667,1.978.125,66,NA,253.854.166.666.667,138.791.666.666.667,19.9,8.7,0,81,39729,203.881.295.778.902,0.6,0.23,3.21,15.58,20.08,96.62,1.67
2016-04-20,514.166.666.666.667,906.458.333.333.333,52.875,NA,240.708.333.333.333,17,20.7,12.2,1.2,59,27029,218.284.065.263.236,0.6,0.25,2.96,13.58,18,92.46,1.38
2016-04-21,234.791.666.666.667,1.841.875,85,NA,1.660.625,146.395.833.333.333,19.7,11.8,13.3,38,18472,205.716.760.502.382,0.6,0.32,5.21,17.88,25.54,61.04,2.29
2016-04-22,229.166.666.666.667,238.166.666.666.667,867.916.666.666.667,NA,160.708.333.333.333,149.291.666.666.667,18.9,11.2,0,59,26954,218.891.444.683.535,0.6,0.23,2.79,10.67,14.79,63.79,2.92
2016-04-23,260.416.666.666.667,241.208.333.333.333,787.708.333.333.333,NA,290.625,14.7,20.1,10,2.2,7,4440,157.657.657.657.658,0.6,0.2,1.75,5.83,8.46,68.17,3.33
2016-04-24,314.166.666.666.667,220.333.333.333.333,746.875,NA,3.146.875,145.625,18.9,9.6,0,4,1627,245.851.259.987.707,0.6,0.2,1.82,6.41,09.05,81,2.35
2016-04-25,372.083.333.333.333,2.564.375,654.375,NA,306.416.666.666.667,1.306.875,17.2,7.6,0,72,34483,208.798.538.410.231,0.6,0.24,3.12,10.46,14.92,77.42,3.75
2016-04-26,285.416.666.666.667,204.708.333.333.333,719.375,NA,304.229.166.666.667,143.458.333.333.333,19.5,8.2,0,53,33567,157.893.168.886.108,0.6,0.22,2.96,12.17,16.5,73.71,4
2016-04-27,307.916.666.666.667,802.708.333.333.333,761.458.333.333.333,NA,699.375,139.041.666.666.667,15.4,11.5,2.2,45,26812,167.835.297.627.928,0.6,0.25,4.96,18.12,25.67,56.21,3.62
2016-04-28,198.333.333.333.333,137.458.333.333.333,818.958.333.333.333,NA,77.75,1.191.875,15.3,8.1,4.3,51,22949,222.231.905.529.653,0.61,0.25,5.17,11.83,19.25,64.17,3.33
2016-04-29,273.958.333.333.333,253.333.333.333.333,770.625,NA,276.958.333.333.333,140.333.333.333.333,18.6,10,0,48,21171,226.725.237.352.983,0.6,0.25,3.71,12.21,17.71,57.5,3.12
2016-04-30,241.458.333.333.333,229.729.166.666.667,848.541.666.666.667,NA,125.75,12.9,18.1,8.6,2.5,18,13988,128.681.727.194.738,0.6,0.2,1.33,4.88,6.83,82.92,2.12
2016-05-01,323.125,281.875,475.416.666.666.667,NA,3.365.625,1.374.375,21.1,8.1,0,8,6625,120.754.716.981.132,0.6,0.22,02.04,8.92,11.71,83.21,2.25
2016-05-02,332.708.333.333.333,263.791.666.666.667,498.958.333.333.333,NA,3.328.125,1.610.625,24.9,8.2,0,91,38244,237.945.821.566.782,0.6,0.3,7.88,19.33,31.08,69.88,4.12
2016-05-03,264.583.333.333.333,199.208.333.333.333,717.083.333.333.333,NA,322.541.666.666.667,1.524.375,20.1,9.5,0,74,33390,221.623.240.491.165,0.6,0.24,3.96,12.08,17.75,77.88,3.42
2016-05-04,373.333.333.333.333,253.645.833.333.333,710.208.333.333.333,NA,330.666.666.666.667,158.041.666.666.667,21.6,10.4,0,45,21773,206.677.995.682.726,0.6,0.25,4.33,14.83,21.29,85.75,4.83
2016-05-05,378.333.333.333.333,161.520.833.333.333,719.166.666.666.667,NA,315.645.833.333.333,155.958.333.333.333,20.3,10.6,0,63,35372,178.106.977.270.157,0.6,0.28,4.67,20.42,27.33,82.88,5.83
2016-05-06,297.708.333.333.333,995.208.333.333.333,76.5,NA,136.833.333.333.333,1.613.125,18.8,13.7,0.4,66,35013,188.501.413.760.603,NA,0.27,02.04,12.38,15.21,93.33,5.88
2016-05-07,234.583.333.333.333,109.583.333.333.333,813.958.333.333.333,NA,116.5,154.770.833.333.333,20.2,12.8,3.8,18,9836,183.001.220.008.133,NA,0.3,1.79,10.46,13.17,81,6.38
2016-05-08,253.958.333.333.333,895.833.333.333.333,897.708.333.333.333,NA,823.333.333.333.333,155.458.333.333.333,17.9,11.5,1.1,5,3066,163.078.930.202.218,NA,0.31,4,18.96,24.79,64.42,4.43
2016-05-09,348.541.666.666.667,86.25,927.083.333.333.333,NA,305.833.333.333.333,163.625,17.7,13.9,2.9,83,36140,229.662.423.907.028,NA,0.32,11.04,21.21,37.83,44.04,3.25
2016-05-10,209.583.333.333.333,253.75,836.458.333.333.333,NA,138.104.166.666.667,155.583.333.333.333,20.1,11.3,7.8,59,26350,223.908.918.406.072,NA,0.24,3.5,9.75,14.71,68.08,3.46
2016-05-11,357.916.666.666.667,2.676.875,782.083.333.333.333,NA,263.791.666.666.667,155.604.166.666.667,20.8,11.4,0.1,48,22380,214.477.211.796.247,NA,0.27,7.46,17.08,28.08,66,3.91
