date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,co,hcnm,hct,no,no2,nox,o3,pm10,pm2.5,so2
2013-01-14,322.916.666.666.667,297.020.833.333.333,663.541.666.666.667,NA,73.125,748.958.333.333.333,13.2,1.6,0,275,126740,216.979.643.364.368,NA,NA,NA,7.25,26.92,37.62,NA,10.75,NA,NA
2013-01-15,302.708.333.333.333,306.666.666.666.667,662.916.666.666.667,NA,755.833.333.333.333,7.65,13.6,1.3,0,279,134015,208.185.650.859.978,NA,NA,NA,28.22,31.56,74.44,NA,19.54,NA,NA
2013-01-16,355.416.666.666.667,255.020.833.333.333,73.875,NA,406.458.333.333.333,849.791.666.666.667,13.8,0.7,0,231,112904,204.598.597.038.192,NA,NA,NA,3.3,35.9,40.4,NA,19,NA,NA
2013-01-17,289.583.333.333.333,192.541.666.666.667,690.416.666.666.667,NA,969.583.333.333.333,101.333.333.333.333,13.6,7.9,0,215,109291,19.672.251.146.023,NA,NA,NA,5.67,41.38,49.29,NA,17.92,NA,NA
2013-01-18,213.333.333.333.333,273.770.833.333.333,727.083.333.333.333,NA,526.666.666.666.667,884.375,11.6,4.7,0.3,82,38108,215.177.915.398.342,NA,NA,NA,24.75,43.12,80.21,NA,25,NA,NA
2013-01-19,2.4875,241.208.333.333.333,88.625,NA,245.208.333.333.333,10.7875,15.2,6.5,7.2,105,64448,162.922.045.680.238,NA,NA,NA,1.62,7.12,8.29,NA,9.38,NA,NA
2013-01-20,331.875,296.791.666.666.667,68.625,NA,840.833.333.333.333,956.666.666.666.666,13.9,6.4,0.8,433,163567,264.723.324.386.948,NA,NA,NA,4.75,21.29,27.17,NA,13.29,NA,NA
2013-01-21,308.541.666.666.667,3.148.125,61.75,NA,105.708.333.333.333,878.958.333.333.333,14.3,4.3,0,345,148777,231.890.682.027.464,NA,NA,NA,3,28.71,31.96,NA,14.33,NA,NA
2013-01-22,2.6875,285.729.166.666.667,645.625,NA,94.25,730.625,11.7,2.8,9.4,327,151474,215.878.632.636.624,NA,NA,NA,2.32,14.23,16.77,NA,9.25,NA,NA
2013-01-23,416.666.666.666.667,313.458.333.333.333,665.208.333.333.333,NA,1.123.125,774.791.666.666.667,12.6,3.8,4.3,273,139025,196.367.559.791.404,NA,NA,NA,7.54,37.54,48.54,NA,13.92,NA,NA
2013-01-24,272.708.333.333.333,286.520.833.333.333,670.416.666.666.667,NA,103.166.666.666.667,812.916.666.666.667,13.1,4,0,274,120826,226.772.383.427.408,NA,NA,NA,4.21,28.17,33.62,NA,11.83,NA,NA
2013-01-25,467.291.666.666.667,319.229.166.666.667,428.958.333.333.333,NA,132.729.166.666.667,879.166.666.666.667,15,5.1,0,95,57021,166.605.285.771.909,NA,NA,NA,5.67,35.54,43.33,NA,14.92,NA,NA
2013-01-26,2.3875,267.708.333.333.333,743.958.333.333.333,NA,104.416.666.666.667,8.1,13,5,0.8,77,37309,206.384.518.480.796,NA,NA,NA,6.96,37,46.79,NA,22.17,NA,NA
2013-01-27,232.916.666.666.667,280.125,762.291.666.666.667,NA,729.791.666.666.667,889.583.333.333.333,13.1,4.8,0.5,487,203794,238.966.799.807.649,NA,NA,NA,7.67,35.79,46.83,NA,14.5,NA,NA
2013-01-28,282.916.666.666.667,263,699.583.333.333.333,NA,133.041.666.666.667,1.121.875,17,5.8,1.8,401,162077,247.413.266.533.808,NA,NA,NA,12.5,45.25,63.71,NA,22.46,NA,NA
2013-01-29,232.916.666.666.667,284.854.166.666.667,706.041.666.666.667,NA,115.75,987.708.333.333.333,16.2,5.4,0,344,155438,221.310.104.350.288,NA,NA,NA,42.25,51.62,115.75,NA,31.5,NA,NA
2013-01-30,225.625,271.666.666.666.667,750.833.333.333.333,NA,103.666.666.666.667,10.7,17.9,5.8,0,347,164688,210.701.447.585.738,NA,NA,NA,32.33,47.54,96.42,NA,24.29,NA,NA
2013-01-31,284.375,282.395.833.333.333,747.916.666.666.667,NA,128.375,1.284.375,18.8,9.2,0,325,155543,208.945.436.310.216,NA,NA,NA,33.41,45.73,96.41,NA,24.12,NA,NA
2013-02-01,300.625,2.798.125,708.333.333.333.333,NA,128.645.833.333.333,134.270.833.333.333,20.8,9.1,0,94,48759,192.784.921.758.034,NA,NA,NA,2.71,16.67,20.21,NA,13,NA,NA
2013-02-02,520.416.666.666.667,312.479.166.666.667,483.333.333.333.333,NA,102.020.833.333.333,120.604.166.666.667,15.9,6,0,54,33485,161.266.238.614.305,NA,NA,NA,2.83,14.75,18.38,NA,17.38,NA,NA
2013-02-03,449.791.666.666.667,318.979.166.666.667,299.583.333.333.333,NA,1.490.625,929.583.333.333.334,14.2,2.6,0,492,220035,223.600.790.783.284,NA,NA,NA,31,46.29,93.04,NA,24.08,NA,NA
2013-02-04,315.833.333.333.333,285.375,612.291.666.666.667,NA,137.75,8.9375,14.9,4.4,0,332,157347,210.998.620.882.508,NA,NA,NA,11.88,40.04,57.62,NA,17.86,NA,NA
2013-02-05,3.65,297.75,598.333.333.333.333,NA,129.625,11.9625,17.6,7.2,0,334,159836,208.964.188.293,NA,NA,NA,2.67,17.54,21.38,NA,16.62,NA,NA
2013-02-06,521.458.333.333.333,3.173.125,516.875,NA,141.083.333.333.333,974.166.666.666.667,13.5,6.4,0,275,140414,195.849.416.724.828,NA,NA,NA,3.54,22.33,27.33,NA,11.86,NA,NA
2013-02-07,404.791.666.666.667,319.395.833.333.333,410.833.333.333.333,NA,148.520.833.333.333,759.583.333.333.333,12.8,1.9,0,311,146783,211.877.397.246.275,NA,NA,NA,5.17,34.5,41.62,NA,14.04,NA,NA
2013-02-08,243.125,2.506.875,569.166.666.666.667,NA,883.541.666.666.667,692.291.666.666.667,9.9,3,0,103,52678,19.552.754.470.557,NA,NA,NA,7.67,33.54,45.17,NA,14.62,NA,NA
2013-02-09,256.875,2.801.875,553.125,NA,153.270.833.333.333,638.541.666.666.667,11.5,0.1,0,61,34460,177.016.831.108.532,NA,NA,NA,4.83,32.71,39.33,NA,15.92,NA,NA
2013-02-10,2.775,278.666.666.666.667,676.041.666.666.667,NA,117.208.333.333.333,827.916.666.666.667,15.5,1.5,0,393,186495,210.729.510.174.535,NA,NA,NA,3.29,20.5,25.04,NA,14.38,NA,NA
2013-02-11,427.291.666.666.667,3.001.875,501.666.666.666.667,NA,869.375,935.416.666.666.667,12.2,7,0,340,163091,20.847.257.052.811,NA,NA,NA,3.92,21.83,27.25,NA,14.75,NA,NA
2013-02-12,421.666.666.666.667,311.291.666.666.667,486.875,NA,153.395.833.333.333,10.2125,15.4,5.8,0,304,148780,204.328.538.782.094,NA,NA,NA,12.5,42.59,61.09,NA,18,NA,NA
2013-02-13,288.333.333.333.333,266.895.833.333.333,659.583.333.333.333,NA,159.145.833.333.333,882.916.666.666.667,14.5,4.6,0,262,133760,195.873.205.741.627,NA,NA,NA,24.75,56.17,93.79,NA,26.21,NA,NA
2013-02-14,2.8,272.541.666.666.667,742.916.666.666.667,NA,152.583.333.333.333,9.5125,15.6,4.4,0,256,124690,205.309.166.733.499,NA,NA,NA,5.65,34.17,42.7,NA,20.58,NA,NA
2013-02-15,233.333.333.333.333,240.916.666.666.667,77.25,NA,133.229.166.666.667,10.175,15.6,5.4,0,120,77378,155.082.840.083.745,NA,NA,NA,4.25,33.08,39.38,NA,21,NA,NA
2013-02-16,2.35,199.395.833.333.333,870.833.333.333.333,NA,630.833.333.333.333,11.1875,13.7,8.7,1.9,77,43084,178.720.638.752.205,NA,NA,NA,3.29,27.71,32.33,NA,16.96,NA,NA
2013-02-17,1.7125,1.330.625,860.416.666.666.667,NA,813.958.333.333.333,111.083.333.333.333,13.5,8.7,0.6,397,191821,206.963.783.944.407,NA,NA,NA,8.54,42.75,55.46,NA,20.04,NA,NA
2013-02-18,253.333.333.333.333,188.291.666.666.667,832.083.333.333.333,NA,426.041.666.666.667,111.104.166.666.667,13.4,8.3,0,273,134747,202.601.913.215.136,NA,NA,NA,5.83,37.88,46.54,NA,17.33,NA,NA
2013-02-19,256.458.333.333.333,149.416.666.666.667,753.125,NA,139.666.666.666.667,10.4875,14.3,4.7,0,280,146836,190.688.931.869.569,NA,NA,NA,13.88,48.71,69.62,NA,23.58,NA,NA
2013-02-20,331.041.666.666.667,278.916.666.666.667,811.041.666.666.667,NA,169.125,8.775,14.5,4.7,0,202,113044,178.691.482.962.386,NA,NA,NA,16.12,51.12,75.33,NA,28.04,NA,NA
2013-02-21,227.916.666.666.667,198.166.666.666.667,820.625,NA,905.833.333.333.333,995.625,13.5,6.5,0,185,102530,180.434.994.635.716,NA,NA,NA,03.08,33.75,38.46,NA,16.61,NA,NA
2013-02-22,371.666.666.666.667,104.020.833.333.333,843.541.666.666.667,NA,176.458.333.333.333,759.166.666.666.667,10.5,5,1.8,58,32794,176.861.621.028.237,NA,NA,NA,3.92,25.38,31,NA,12.08,NA,NA
2013-02-23,280.208.333.333.333,239.854.166.666.667,69.375,NA,113.270.833.333.333,418.333.333.333.333,9.4,0.1,15.9,87,46386,187.556.590.350.537,NA,NA,NA,3.46,20.08,25.08,NA,18.75,NA,NA
2013-02-24,399.583.333.333.333,281.020.833.333.333,518.333.333.333.333,NA,171.083.333.333.333,555.625,12,2.1,0,315,151063,208.522.272.164.594,NA,NA,NA,12.88,46.75,66.12,NA,19.79,NA,NA
2013-02-25,222.291.666.666.667,2.663.125,563.125,NA,102.270.833.333.333,440.833.333.333.333,9.2,1,0,243,128061,189.753.320.683.112,NA,NA,NA,11.92,45.92,63.79,NA,19.25,NA,NA
2013-02-26,284.791.666.666.667,2.883.125,671.666.666.666.667,NA,186.770.833.333.333,509.166.666.666.667,10.7,0.8,0,235,117404,200.163.537.869.238,NA,NA,NA,23.88,53.17,89.38,NA,25.04,NA,NA
2013-02-27,314.166.666.666.667,205.833.333.333.333,593.125,NA,142.625,715.625,12.7,0.9,1.3,192,111532,17.214.790.374.063,NA,NA,NA,2.42,27.71,31.38,NA,14.62,NA,NA
2013-02-28,654.375,653.958.333.333.333,774.166.666.666.667,NA,475.625,888.125,10.8,7.1,13.8,206,101566,202.823.779.611.287,NA,NA,NA,15.86,44.86,68.95,NA,12.29,NA,NA
2013-03-01,491.875,814.583.333.333.333,696.666.666.666.667,NA,418.541.666.666.667,966.666.666.666.667,12,7.2,23.8,59,37244,15.841.477.821.931,NA,NA,NA,34.88,59.17,112.04,NA,28.33,NA,NA
2013-03-02,271.875,277.25,703.541.666.666.667,NA,179.270.833.333.333,934.791.666.666.667,15.2,5.9,0,48,32798,146.350.387.218.733,NA,NA,NA,33.88,61.79,112.88,NA,29.17,NA,NA
2013-03-03,284.583.333.333.333,255.979.166.666.667,737.708.333.333.333,NA,180.395.833.333.333,897.916.666.666.667,15.7,4,0,328,150822,217.474.904.191.696,NA,NA,NA,5.92,50.88,59.46,NA,26.29,NA,NA
2013-03-04,466.875,164.291.666.666.667,825.833.333.333.333,NA,56,104.083.333.333.333,13.1,5.2,2,209,107380,194.635.872.601.974,NA,NA,NA,03.04,20.29,24.29,NA,36.04,NA,NA
2013-03-05,684.375,789.166.666.666.667,934.583.333.333.333,NA,375.416.666.666.667,129.333.333.333.333,14,12.1,40.4,221,104637,211.206.361.038.638,NA,NA,NA,25.12,52.12,89.96,NA,28.38,NA,NA
2013-03-06,281.458.333.333.333,201.75,934.375,NA,480.208.333.333.333,1.280.625,17.2,8.8,25.7,212,100595,210.746.060.937.422,NA,NA,NA,33.67,52.88,104.08,NA,21.96,NA,NA
2013-03-07,336.458.333.333.333,257.833.333.333.333,816.875,NA,155.270.833.333.333,139.729.166.666.667,20.8,7.5,0.3,187,88106,21.224.434.204.254,NA,NA,NA,5.25,34.12,41.25,NA,14.96,NA,NA
2013-03-08,441.041.666.666.667,247.916.666.666.667,635.208.333.333.333,NA,2.145.625,155.166.666.666.667,21.1,11.9,0,75,39407,190.321.516.481.843,NA,NA,NA,8.79,36.33,49.46,NA,15.46,NA,NA
2013-03-09,385.416.666.666.667,2.561.875,710.625,NA,200.854.166.666.667,139.645.833.333.333,18.7,8.4,0,45,24003,187.476.565.429.321,NA,NA,NA,15.25,36.5,59.54,NA,20.75,NA,NA
2013-03-10,364.166.666.666.667,271.125,641.875,NA,194.291.666.666.667,135.291.666.666.667,19.3,8.9,0,296,134089,220.748.905.577.639,NA,NA,NA,4.29,27.12,33.29,NA,13.83,NA,NA
2013-03-11,378.333.333.333.333,290.875,595.416.666.666.667,NA,188.041.666.666.667,130.125,18.6,7.6,0,214,98758,216.691.306.020.778,NA,NA,NA,3.79,25.88,31.33,NA,13.71,NA,NA
2013-03-12,306.041.666.666.667,232.125,655.833.333.333.333,NA,180.083.333.333.333,1.226.875,17.1,7.8,0,182,93397,194.867.072.818.185,NA,NA,NA,10.27,42.27,58.14,NA,11.83,NA,NA
2013-03-13,237.291.666.666.667,270.916.666.666.667,85.125,NA,170.833.333.333.333,638.958.333.333.333,9.7,4,34.8,183,86540,211.462.907.326.092,NA,NA,NA,4.29,23.54,30,NA,11.75,NA,NA
2013-03-14,365.208.333.333.333,312.708.333.333.333,373.958.333.333.333,NA,233.020.833.333.333,831.666.666.666.667,13.7,3.4,0,177,90756,195.028.427.872.537,NA,NA,NA,6.38,31.21,40.67,NA,14.25,NA,NA
2013-03-15,295.416.666.666.667,234.583.333.333.333,476.041.666.666.667,NA,234.041.666.666.667,852.708.333.333.333,12.8,4.1,0,71,44066,161.121.953.433.486,NA,NA,NA,08.04,41.04,53.21,NA,23.88,NA,NA
2013-03-16,390.416.666.666.667,257.270.833.333.333,729.583.333.333.333,NA,163.166.666.666.667,965.833.333.333.333,15.2,3.6,0,73,30541,239.022.952.752.038,NA,NA,NA,3.88,27.04,32.29,NA,21,NA,NA
2013-03-17,154.375,2.434.375,884.375,NA,794.375,11.325,14.5,8.8,1.2,287,132225,217.054.263.565.891,NA,NA,NA,4.71,29.38,36.17,NA,13,NA,NA
2013-03-18,439.791.666.666.667,277.416.666.666.667,595.208.333.333.333,NA,242.104.166.666.667,12.2125,16.6,7.7,0.8,209,98700,211.752.786.220.871,NA,NA,NA,27.96,58,100.46,NA,25,NA,NA
2013-03-19,2.6,2.193.125,702.083.333.333.333,NA,2.325.625,10.375,15.6,5.3,0,163,89383,18.236.129.912.847,NA,NA,NA,07.04,38,48.71,NA,15.46,NA,NA
2013-03-20,336.666.666.666.667,273.333.333.333.333,789.375,NA,197.270.833.333.333,1.128.125,15.6,6,1.5,175,83570,209.405.288.979.299,NA,NA,NA,19.92,53.88,84,NA,24.04,NA,NA
2013-03-21,349.375,260.979.166.666.667,766.666.666.666.667,NA,226.208.333.333.333,111.770.833.333.333,16.4,5.9,0,169,84925,198.999.116.867.825,NA,NA,NA,7.42,41.54,52.46,NA,24.5,NA,NA
2013-03-22,298.333.333.333.333,267.5,820.833.333.333.333,NA,218.520.833.333.333,117.770.833.333.333,17.2,7.4,0,69,36699,188.016.022.234.938,NA,NA,NA,3.46,40.33,45.5,NA,24.46,NA,NA
2013-03-23,210.625,199.541.666.666.667,849.791.666.666.667,NA,156,12.2,16,8.6,0,39,18876,206.611.570.247.934,NA,NA,NA,3.96,26.58,31.83,NA,21.67,NA,NA
2013-03-24,210.833.333.333.333,256.020.833.333.333,864.791.666.666.667,NA,152.416.666.666.667,122.729.166.666.667,17,9.2,12.9,230,100518,22.881.473.964.862,NA,NA,NA,4.83,27.88,35.04,NA,14.58,NA,NA
2013-03-25,356.041.666.666.667,291.833.333.333.333,682.083.333.333.333,NA,231.041.666.666.667,139.125,20.2,8.1,0.2,183,86426,211.741.836.947.215,NA,NA,NA,4.71,24.04,30.96,NA,12.88,NA,NA
2013-03-26,280.416.666.666.667,170.458.333.333.333,759.375,NA,181.395.833.333.333,135.958.333.333.333,16.7,10,0,165,70369,234.478.250.365.928,NA,NA,NA,3.36,25.91,30.91,NA,15.42,NA,NA
2013-03-27,237.916.666.666.667,125.854.166.666.667,853.958.333.333.333,NA,165.083.333.333.333,130.791.666.666.667,15.8,11.1,0.5,146,75301,193.888.527.376.794,NA,NA,NA,4.46,28.21,34.58,NA,20.54,NA,NA
2013-03-28,326.875,219.145.833.333.333,818.541.666.666.667,NA,195.916.666.666.667,146.895.833.333.333,18.1,12.2,0,39,27124,143.784.102.639.729,NA,NA,NA,2.88,21.83,25.88,NA,16.21,NA,NA
2013-03-29,254.375,263.625,783.333.333.333.333,NA,129.104.166.666.667,154.375,21.1,11.2,0.8,58,32081,180.792.369.315.171,NA,NA,NA,1.83,14.58,16.92,NA,11.58,NA,NA
2013-03-30,447.708.333.333.333,265.541.666.666.667,610.833.333.333.333,NA,182.208.333.333.333,160.166.666.666.667,21.2,11.8,0,43,28126,152.883.453.032.781,NA,NA,NA,2.95,14.91,18.91,NA,13.14,NA,NA
2013-03-31,285.416.666.666.667,1.913.125,65.25,NA,241.354.166.666.667,133.458.333.333.333,17.4,9.4,0,48,31281,153.447.779.802.436,NA,NA,NA,2.12,20.04,22.96,NA,13.21,NA,NA
2013-04-01,260.833.333.333.333,242.354.166.666.667,807.083.333.333.333,NA,122.958.333.333.333,128.041.666.666.667,20.7,7.3,1.1,214,96187,22.248.328.776.238,NA,NA,NA,03.07,21.07,25.4,NA,9.33,NA,NA
2013-04-02,286.875,266.5,676.458.333.333.333,NA,240.770.833.333.333,131.229.166.666.667,20.7,6.7,0,195,96816,201.412.989.588.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-04-03,284.583.333.333.333,209.479.166.666.667,777.916.666.666.667,NA,219.729.166.666.667,122.416.666.666.667,16.3,7.4,0,156,72151,216.213.219.497.997,NA,NA,NA,2.67,32.58,36.5,NA,22.92,NA,NA
2013-04-04,2.1875,1.926.875,81.375,NA,899.791.666.666.667,129.770.833.333.333,15.8,11.5,0,128,62158,205.926.831.622.639,NA,NA,NA,4.46,34.33,40.79,NA,15.33,NA,NA
2013-04-05,268.958.333.333.333,264.041.666.666.667,79.5,NA,48.625,955.833.333.333.333,11.8,7.6,6.7,59,33335,176.991.150.442.478,NA,NA,NA,2.83,19.42,23.58,NA,8.62,NA,NA
2013-04-06,236.458.333.333.333,246.166.666.666.667,684.166.666.666.667,NA,2.326.875,955.208.333.333.333,13.7,6.2,0,33,15793,208.953.333.755.461,NA,NA,NA,3.62,23,28.38,NA,16.5,NA,NA
2013-04-07,458.333.333.333.333,270.520.833.333.333,628.333.333.333.333,NA,2.534.375,11.2375,15.3,7.3,0,257,123005,208.934.596.154.628,NA,NA,NA,22.36,42,75.64,NA,22.04,NA,NA
2013-04-08,331.875,241.625,703.958.333.333.333,NA,1.973.125,124.958.333.333.333,19.5,6.6,0,192,87928,218.360.476.753.708,NA,NA,NA,31.04,43.04,90.12,NA,26.96,NA,NA
2013-04-09,452.291.666.666.667,227.291.666.666.667,663.125,NA,264.416.666.666.667,138.479.166.666.667,20.1,6.3,0,185,88956,20.796.798.417.195,NA,NA,NA,12.04,37.88,55.79,NA,21.75,NA,NA
2013-04-10,306.666.666.666.667,224.145.833.333.333,69.625,NA,246.145.833.333.333,1.519.375,19.2,11.5,0,150,77604,193.289.005.721.355,NA,NA,NA,19.14,38.14,66.95,NA,30.04,NA,NA
2013-04-11,469.375,244.770.833.333.333,72.875,NA,2.544.375,1.631.875,20.8,10.1,0,166,82783,200.524.262.227.752,NA,NA,NA,6.75,28.88,38.88,NA,25.88,NA,NA
2013-04-12,318.125,223.375,605.625,NA,287.395.833.333.333,161.104.166.666.667,23.7,9.5,0,20,13162,151.952.590.791.673,NA,NA,NA,4.75,29.42,36.42,NA,17.46,NA,NA
2013-04-13,228.125,213,703.958.333.333.333,NA,291,1.469.375,19.7,8.9,0,43,27802,154.665.132.004.892,NA,NA,NA,12.25,52.71,70.75,NA,22.58,NA,NA
2013-04-14,2.3,230.604.166.666.667,681.041.666.666.667,NA,299.125,150.958.333.333.333,21.6,9.9,0,218,101140,21.554.281.194.384,NA,NA,NA,27.75,71.71,113.88,NA,31.21,NA,NA
2013-04-15,215.833.333.333.333,239.375,686.666.666.666.667,NA,271.958.333.333.333,156.458.333.333.333,21.2,10.1,0,158,68614,230.273.705.074.766,NA,NA,NA,31.83,70,118.12,NA,33.04,NA,NA
2013-04-16,191.666.666.666.667,2.435.625,64.375,NA,2.653.125,1.624.375,22.6,9.2,0,161,79096,203.550.116.314.352,NA,NA,NA,34,69.04,120.67,NA,36.58,NA,NA
2013-04-17,251.458.333.333.333,247.833.333.333.333,598.125,NA,2.901.875,171.770.833.333.333,23.4,9.1,0,171,78618,217.507.441.044.036,NA,NA,NA,16.92,45.17,70.62,NA,28.62,NA,NA
2013-04-18,262.291.666.666.667,208.208.333.333.333,749.791.666.666.667,NA,296.479.166.666.667,1.480.625,19.4,9.8,0,141,64125,219.883.040.935.673,NA,NA,NA,10.92,42,58.33,NA,29,NA,NA
2013-04-19,309.375,2.650.625,733.125,NA,191.916.666.666.667,148.104.166.666.667,21,8.5,0,57,30448,187.204.414.083.027,NA,NA,NA,4.67,17.54,24.38,NA,24.17,NA,NA
2013-04-20,428.125,2.601.875,608.958.333.333.333,NA,3.115.625,137.354.166.666.667,19.7,8,0,32,18321,174.662.955.078.871,NA,NA,NA,4.17,13.46,19.58,NA,20.04,NA,NA
2013-04-21,289.166.666.666.667,215.458.333.333.333,707.708.333.333.333,NA,270.770.833.333.333,131.541.666.666.667,17.4,8.5,0,264,120392,219.283.673.333.776,NA,NA,NA,5.71,26.92,35.29,NA,22.71,NA,NA
2013-04-22,280.625,248.020.833.333.333,712.083.333.333.333,NA,277.166.666.666.667,136.166.666.666.667,18.6,8.9,0,151,76269,197.983.453.303.439,NA,NA,NA,7.38,31.67,42.96,NA,23,NA,NA
2013-04-23,261.666.666.666.667,212.979.166.666.667,674.166.666.666.667,NA,295.166.666.666.667,1.386.875,19.2,9.2,0,161,73501,219.044.638.848.451,NA,NA,NA,3.86,30.27,36,NA,20.5,NA,NA
2013-04-24,423.958.333.333.333,144.458.333.333.333,604.583.333.333.333,NA,309.916.666.666.667,1.529.375,18.6,8,0,170,81119,209.568.658.390.759,NA,NA,NA,2.58,26.67,30.33,NA,24.38,NA,NA
2013-04-25,487.291.666.666.667,588.541.666.666.667,67.75,NA,505.833.333.333.333,166.583.333.333.333,19.3,14,14.9,151,66657,226.532.847.262.853,NA,NA,NA,2.83,25.79,29.75,NA,28,NA,NA
2013-04-26,323.541.666.666.667,986.458.333.333.333,745.208.333.333.333,NA,117.666.666.666.667,164.604.166.666.667,18.8,13.9,1.7,50,30686,162.940.754.741.576,NA,NA,NA,3.21,19.54,24.17,NA,8.17,NA,NA
2013-04-27,2.675,2.144.375,91.75,NA,697.708.333.333.333,11.45,13.9,9.5,18.6,25,14264,175.266.404.935.502,NA,NA,NA,3.96,28.04,33.75,NA,8.38,NA,NA
2013-04-28,220.833.333.333.333,2.683.125,872.916.666.666.667,NA,384.791.666.666.667,953.541.666.666.667,11.6,7.5,12.9,204,91506,222.936.200.904.859,NA,NA,NA,3.75,35.75,41.12,NA,16.04,NA,NA
2013-04-29,330.416.666.666.667,2.149.375,900.833.333.333.333,NA,423.125,12.7875,16.2,9.7,16,186,89811,207.101.579.984.634,NA,NA,NA,5.17,25.46,33.17,NA,14.17,NA,NA
2013-04-30,346.875,242.104.166.666.667,824.583.333.333.333,NA,271.75,139.541.666.666.667,17.8,9.9,3.9,50,35732,139.930.594.425.165,NA,NA,NA,2.12,22.04,25,NA,15.46,NA,NA
2013-05-01,3.0625,256.270.833.333.333,764.375,NA,3.238.125,137.791.666.666.667,18.8,9.2,0,209,105522,198.062.963.173.556,NA,NA,NA,4.46,34.29,40.62,NA,18.67,NA,NA
2013-05-02,249.166.666.666.667,223.333.333.333.333,778.958.333.333.333,NA,302.604.166.666.667,137.833.333.333.333,18.2,8.6,0,151,74477,202.747.156.840.367,NA,NA,NA,2.96,23,27.12,NA,12.55,NA,NA
2013-05-03,347.083.333.333.333,266.416.666.666.667,694.375,NA,324.020.833.333.333,149.833.333.333.333,19.3,10.5,0,62,31291,198.140.040.267.169,NA,NA,NA,3.25,30.83,35.62,NA,16.58,NA,NA
2013-05-04,317.708.333.333.333,256.270.833.333.333,742.291.666.666.667,NA,286.645.833.333.333,154.875,20.8,10.2,0.7,54,38848,139.003.294.892.916,NA,NA,NA,2.75,21.46,24.88,NA,14.88,NA,NA
2013-05-05,318.541.666.666.667,246.979.166.666.667,794.583.333.333.333,NA,317.375,158.729.166.666.667,20.8,10.9,0,250,101220,246.986.761.509.583,NA,NA,NA,7,35.04,45.33,NA,25.71,NA,NA
2013-05-06,372.083.333.333.333,235.645.833.333.333,796.041.666.666.667,NA,322.5,162.916.666.666.667,21.2,11.7,0,236,124363,189.767.052.901.586,NA,NA,NA,10.96,41.21,57.5,NA,27.88,NA,NA
2013-05-07,258.541.666.666.667,185.645.833.333.333,783.958.333.333.333,NA,255.416.666.666.667,181.416.666.666.667,25.2,13.4,0,177,87702,201.819.798.864.336,NA,NA,NA,19.92,71.25,101.25,NA,38.96,NA,NA
2013-05-08,208.541.666.666.667,200.208.333.333.333,690.416.666.666.667,NA,236.958.333.333.333,192.770.833.333.333,23.8,14.2,0,157,73086,214.815.422.926.415,NA,NA,NA,6.32,29.64,38.86,NA,16.42,NA,NA
2013-05-09,1.825,1.868.125,794.791.666.666.667,NA,238.729.166.666.667,18.625,23.2,14,0,185,92529,199.937.316.949.281,NA,NA,NA,3.88,14.79,20.46,NA,20.79,NA,NA
2013-05-10,302.708.333.333.333,185.770.833.333.333,810.416.666.666.667,NA,1.264.375,175.208.333.333.333,19.6,15.4,0,35,19384,180.561.287.659.926,NA,NA,NA,1.79,5.25,7.25,NA,19,NA,NA
2013-05-11,312.708.333.333.333,206.125,79.375,NA,288.25,170.208.333.333.333,21,11.8,0.1,42,24454,171.751.042.774.188,NA,NA,NA,2.38,3.62,5.71,NA,21.38,NA,NA
2013-05-12,291.041.666.666.667,186.020.833.333.333,74.75,NA,2.493.125,161.604.166.666.667,19.4,11.1,0,222,103290,214.928.841.126.924,NA,NA,NA,3.92,16.58,22.29,NA,22.71,NA,NA
2013-05-13,336.458.333.333.333,2.561.875,77.5,NA,305.833.333.333.333,1.598.125,20.8,11,0,171,78467,21.792.600.711.127,NA,NA,NA,5.17,24.17,31.5,NA,25.08,NA,NA
2013-05-14,187.708.333.333.333,253.75,868.333.333.333.333,NA,1.031.875,158.333.333.333.333,19.3,11.9,0.4,158,67263,234.898.829.965.955,NA,NA,NA,6.75,22.83,32.88,NA,18.42,NA,NA
2013-05-15,246.041.666.666.667,2.153.125,87,NA,111.979.166.666.667,1.525.625,19.9,11.5,32,143,73003,195.882.360.998.863,NA,NA,NA,4.75,12.21,19.21,NA,11.78,NA,NA
2013-05-16,281.875,241.354.166.666.667,759.583.333.333.333,NA,201.25,130.291.666.666.667,16.8,9.7,1.8,194,89978,215.608.259.796.839,NA,NA,NA,8.79,20.88,34.08,NA,16.71,NA,NA
2013-05-17,268.958.333.333.333,207.875,742.083.333.333.333,NA,310.854.166.666.667,149.833.333.333.333,19.3,8.2,0.7,51,20802,245.168.733.775.599,NA,NA,NA,3.46,6.29,10.58,NA,13.71,NA,NA
2013-05-18,357.916.666.666.667,266.625,696.041.666.666.667,NA,217.145.833.333.333,148.333.333.333.333,18,12,3.1,44,22105,199.049.988.690.342,NA,NA,NA,3.58,08.04,11.79,NA,11.25,NA,NA
2013-05-19,230.625,258.604.166.666.667,746.458.333.333.333,NA,199.145.833.333.333,1.366.875,19.7,7.8,10.1,54,27675,195.121.951.219.512,NA,NA,NA,2.25,08.08,10.67,NA,12.25,NA,NA
