date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,pm10,so2
2013-03-04,234.583.333.333.333,160.541.666.666.667,844.791.666.666.667,981.741.666.666.667,236.041.666.666.667,8.4125,10.9,3.9,5.8,33,16143,204.422.969.708.233,9.98,34.83,61.04,47.42,34.71,1.82
2013-03-05,413.125,109.208.333.333.333,98.25,97.174.375,10.8125,1.106.875,11.5,10.5,75.8,28,15454,181.182.865.277.598,1.91,17.83,25.14,78.36,30.55,1.31
2013-03-06,189.583.333.333.333,220.791.666.666.667,922.083.333.333.333,9.650.625,486.666.666.666.667,119.020.833.333.333,15.4,10.4,37.5,29,15100,19.205.298.013.245,13.83,32.11,69.42,39.96,23.54,1.45
2013-03-07,291.458.333.333.333,276.375,691.041.666.666.667,97.193.125,167.291.666.666.667,149.875,20.2,11.3,0.2,17,8118,209.411.185.020.941,15.69,32.56,73.5,32.88,26.42,2.11
2013-03-08,384.375,288,559.791.666.666.667,97.409.375,2.254.375,149.708.333.333.333,19.3,12.5,0,22,9778,224.994.886.479.853,06.04,23.92,44.29,65.08,15,2.34
2013-03-09,273.333.333.333.333,300.833.333.333.333,591.666.666.666.667,974.783.333.333.333,196.083.333.333.333,139.166.666.666.667,18.2,10.6,0,3,1127,266.193.433.895.297,3.54,19.92,33.5,60.25,14.25,2.15
2013-03-10,3.3,311.104.166.666.667,520.208.333.333.333,97.204.375,207.625,139.166.666.666.667,17.4,11.1,0,2,1216,164.473.684.210.526,2.1,19.1,26.62,59.17,21.08,3.11
2013-03-11,324.583.333.333.333,310.5,53.5,971.777.083.333.333,1.965.625,12.3375,16,9.9,0,45,21550,208.816.705.336.427,5.33,25.83,43.67,51.92,21.58,4
2013-03-12,259.166.666.666.667,277.958.333.333.333,57.75,969.95,1.529.375,1.146.875,15.3,7.6,0,27,12026,224.513.553.966.406,2.77,22.4,34.58,57.71,17,3.6
2013-03-13,207.916.666.666.667,276.729.166.666.667,817.291.666.666.667,967.664.583.333.333,262.708.333.333.333,516.875,7.3,2.7,25.9,34,13404,253.655.625.186.512,13.56,33.4,67.17,26.92,19.25,2.67
2013-03-14,393.333.333.333.333,315.166.666.666.667,329.791.666.666.667,97.594.375,254.520.833.333.333,719.375,12.1,3.3,0,27,15665,17.235.876.157.038,09.04,23.71,46.38,62.75,18.5,2
2013-03-15,2.075,243.916.666.666.667,466.041.666.666.667,98.395.625,251.25,736.666.666.666.667,14.3,3.3,0,25,12633,197.894.403.546.268,11.62,36.6,65.46,50.08,22.96,2.74
2013-03-16,206.666.666.666.667,199.208.333.333.333,779.166.666.666.667,983.016.666.666.667,116.25,818.541.666.666.667,12.8,3,1.5,13,7587,171.345.722.947.146,8.77,29.04,52.33,50.38,28.21,3.77
2013-03-17,125.833.333.333.333,2.263.125,868.958.333.333.333,971.816.666.666.667,813.958.333.333.333,101.083.333.333.333,13.1,8.5,2.1,NA,NA,NA,3.21,26.77,39.08,43.12,25.25,3.49
2013-03-18,391.041.666.666.667,307.166.666.666.667,542.708.333.333.333,971.647.916.666.667,249.604.166.666.667,108.583.333.333.333,14.2,8.1,0.4,36,14924,241.222.192.441.705,03.09,16.91,26.73,59.95,17.42,2.38
2013-03-19,193.541.666.666.667,220.916.666.666.667,562.291.666.666.667,974.702.083.333.333,242.375,108.041.666.666.667,16.9,6.3,0,29,15034,192.896.102.168.418,19.28,42.46,90.71,38.67,32.04,02.03
2013-03-20,163.958.333.333.333,2.629.375,721.666.666.666.667,978.716.666.666.667,1.985.625,104.854.166.666.667,16.9,6.5,2.4,30,11605,2.585.092.632.486,11.1,38.33,76.71,37.71,25.38,1.18
2013-03-21,216.041.666.666.667,239.895.833.333.333,546.458.333.333.333,985.839.583.333.334,235.520.833.333.333,119.083.333.333.333,18.7,5,0,22,9935,221.439.355.812.783,18.04,39.77,87.75,40.83,30.75,2.53
2013-03-22,160.208.333.333.333,2.446.875,707.916.666.666.667,977.929.166.666.666,2.379.375,124.291.666.666.667,19.4,7.7,0,19,7532,252.257.036.643.654,13.12,38.29,80,45.92,36.17,3.9
2013-03-23,147.708.333.333.333,200.916.666.666.667,81.375,973.945.833.333.333,171.354.166.666.667,1.173.125,17.2,8.3,0,5,2725,18.348.623.853.211,5.5,31.46,47.12,49.33,33.17,3.4
2013-03-24,142.083.333.333.333,222.625,837.083.333.333.333,97.083.125,169.416.666.666.667,11.4375,17.9,8.1,6.6,5,1644,304.136.253.041.363,2.25,22.19,31.08,54.42,26.79,3.27
2013-03-25,295.833.333.333.333,305.416.666.666.667,646.875,973.614.583.333.333,2.505.625,124.291.666.666.667,18.7,6.8,0.2,33,14398,229.198.499.791.638,6.6,18.96,36.42,58.25,16.58,2.6
2013-03-26,200.416.666.666.667,193.25,762.916.666.666.667,972.804.166.666.667,176.270.833.333.333,12.5625,16.9,9.9,0.2,22,7923,277.672.598.763.095,6.3,28.96,45.21,48.92,17.67,03.06
2013-03-27,130.833.333.333.333,138.479.166.666.667,904.166.666.666.667,972.883.333.333.333,820.833.333.333.333,116.583.333.333.333,15.3,10.1,0.4,32,12767,250.646.197.227.226,4.17,33.42,45.21,49.67,20.92,4.28
2013-03-28,144.791.666.666.667,239.75,757.083.333.333.333,975.633.333.333.334,1.831.875,143.979.166.666.667,20.4,10.1,0,26,10913,238.247.961.147.256,8.17,27.44,48.29,48.79,24.79,4.55
2013-03-29,226.458.333.333.333,292.916.666.666.667,706.666.666.666.667,976.954.166.666.667,144.520.833.333.333,152.104.166.666.667,20.3,10.2,1.9,4,1325,30.188.679.245.283,04.08,18.79,29.54,46.08,16.54,4.81
2013-03-30,4.8,313.958.333.333.333,561.875,973.825,222.041.666.666.667,148.645.833.333.333,18.7,12,0,2,873,229.095.074.455.899,1.23,8.65,12.04,76.38,9.42,4.49
2013-03-31,229.791.666.666.667,211,625.833.333.333.333,975.270.833.333.333,245.729.166.666.667,127.833.333.333.333,18.9,8.9,0,5,3697,135.244.793.075.467,1.71,16.67,22.5,77.77,15.45,5.27
2013-04-01,182.291.666.666.667,232.458.333.333.333,816.875,968.585.416.666.667,153.041.666.666.667,11.55,18.1,7.5,1.9,1,257,389.105.058.365.759,1.85,18.58,25.92,60.96,16.75,5
2013-04-02,260.833.333.333.333,290.666.666.666.667,612.291.666.666.667,974.577.083.333.333,2.564.375,124.791.666.666.667,18.7,7.4,0,30,13778,217.738.423.573.813,5.83,19.63,34.86,59.57,13.82,5.43
2013-04-03,196.458.333.333.333,1.809.375,739.791.666.666.667,975.95,212.854.166.666.667,113.895.833.333.333,17.8,6.3,0,15,7533,199.123.855.037.834,16.3,32.53,68.92,52.46,27.21,3.52
2013-04-04,122.291.666.666.667,195.854.166.666.667,80.5,970.158.333.333.333,844.166.666.666.667,115.104.166.666.667,15.2,9.3,0.3,25,12153,205.710.524.150.416,13.96,43.17,79.75,39.33,32.75,2.91
2013-04-05,167.291.666.666.667,271.104.166.666.667,783.333.333.333.333,975.479.166.666.667,105.854.166.666.667,8.0375,11,6,1.2,30,13894,215.920.541.240.823,4.19,31.33,46.04,47.21,21.08,2.14
2013-04-06,173.125,240.979.166.666.667,654.166.666.666.667,980.458.333.333.333,2.259.375,778.333.333.333.333,14.1,3.6,0,5,2668,187.406.296.851.574,2.4,14.29,20.21,80.17,10.38,1.53
2013-04-07,321.041.666.666.667,277.458.333.333.333,572.083.333.333.333,983.333.333.333.333,2.648.125,105.708.333.333.333,18.8,5.8,0,NA,NA,NA,2.75,19.71,32.33,66.58,19.42,03.09
2013-04-08,259.166.666.666.667,2.776.875,537.708.333.333.333,979.160.416.666.667,221.229.166.666.667,131.083.333.333.333,18.3,8.4,0,37,15914,232.499.685.811.235,19.38,32.25,75.88,54.92,32.38,6.64
2013-04-09,278.541.666.666.667,270.875,485.208.333.333.333,98.028.125,2.855.625,151.395.833.333.333,21.5,8.6,0,41,18081,226.757.369.614.512,19.42,26.23,75.17,56.92,35.33,4.96
2013-04-10,183.333.333.333.333,231.875,625.416.666.666.667,985.022.916.666.667,222.020.833.333.333,151.541.666.666.667,20.6,9.2,0,22,7416,296.655.879.180.151,11.1,28,55.79,68.25,28,04.06
2013-04-11,2.8875,285.5,520.208.333.333.333,980.625,260.979.166.666.667,1.905.625,24.2,15.4,0,20,9055,220.872.446.162.341,13.73,37.1,73.08,44.83,30.33,9.3
2013-04-12,263.125,298.625,43,984.6,306.708.333.333.333,169.416.666.666.667,22.4,12.6,0,29,10098,287.185.581.303.228,6.67,17.93,42,70.9,20.38,02.05
2013-04-13,170.833.333.333.333,2.076.875,594.791.666.666.667,991.860.416.666.667,304.666.666.666.667,158.666.666.666.667,22.9,10.2,0,10,4410,226.757.369.614.512,8.46,33.85,56.17,51.62,28.71,3.81
2013-04-14,1.825,212.333.333.333.333,569.166.666.666.667,994.175,316.354.166.666.667,162.104.166.666.667,24.2,9.8,0,8,3686,21.703.743.895.822,3.67,22.9,34.83,58.46,24.12,2.68
2013-04-15,170.625,210.458.333.333.333,412.083.333.333.333,992.089.583.333.334,280.625,183.854.166.666.667,26.6,11.4,0,34,16337,208.116.545.265.349,15.88,43.29,81.25,44.29,35.54,4.15
2013-04-16,147.916.666.666.667,2.016.875,434.166.666.666.667,991.545.833.333.333,272.729.166.666.667,189.145.833.333.333,26.9,12.4,0,5,3167,157.878.118.092.832,20.69,48.79,102.38,39.54,45,5.81
2013-04-17,167.916.666.666.667,225.270.833.333.333,432.916.666.666.667,991.7,3.071.875,1.980.625,27.5,13.4,0,24,8066,297.545.251.673.692,16.94,46.79,91.54,45.58,45.42,3.62
2013-04-18,193.958.333.333.333,210.416.666.666.667,583.333.333.333.333,990.979.166.666.667,312.666.666.666.667,1.650.625,23.2,11.7,0,35,11333,308.832.612.723.904,16.3,40.61,79.83,52.71,39.18,3.83
2013-04-19,1.7,2.443.125,68.25,990.354.166.666.667,1.860.625,143.375,23,9.4,0,24,9856,243.506.493.506.493,10.41,29.15,60.46,45.88,33.38,1.82
2013-04-20,258.125,287.125,490.208.333.333.333,989.897.916.666.667,318.229.166.666.667,133.479.166.666.667,19.6,8.6,0,NA,NA,NA,3.77,23.67,33.96,62.17,21.33,2.26
2013-04-21,195.625,167.020.833.333.333,72.375,988.352.083.333.333,247.666.666.666.667,123.354.166.666.667,18.2,8.4,0,4,2800,142.857.142.857.143,2.62,19.73,25.33,77.21,26.62,4.6
2013-04-22,1.725,225.75,629.791.666.666.667,986.958.333.333.333,237.229.166.666.667,130.916.666.666.667,20.1,7.7,0,31,9118,339.986.839.219.127,9.54,21.23,44.04,74.83,30.42,1.38
2013-04-23,2.1,214.875,583.333.333.333.333,991.754.166.666.666,306.916.666.666.667,143.458.333.333.333,20.7,10.2,0,29,15495,187.157.147.466.925,8.52,31.85,56.58,65.83,37.29,1.72
2013-04-24,287.708.333.333.333,146.875,568.958.333.333.333,994.010.416.666.667,328.791.666.666.667,147.666.666.666.667,19.9,8.4,0,30,13609,220.442.354.324.344,11.35,32.56,63.58,66.5,68.38,1.85
2013-04-25,151.041.666.666.667,684.166.666.666.667,758.958.333.333.333,989.945.833.333.333,320.208.333.333.333,142.645.833.333.333,17.2,12.7,17.4,28,12282,227.975.899.690.604,2.27,27.75,34.29,85.17,24.79,4.77
2013-04-26,146.666.666.666.667,122.270.833.333.333,81.125,983.245.833.333.333,117.125,147.895.833.333.333,18,12.4,7,24,8647,277.552.908.523.187,4.44,31.48,47.88,74.62,30.33,1.94
2013-04-27,185.833.333.333.333,215.75,934.375,9.772.375,664.583.333.333.333,9.8125,12.4,7.9,23.6,4,3066,130.463.144.161.774,2.27,16.85,25.21,61.38,8.67,01.06
2013-04-28,908.333.333.333.333,177.604.166.666.667,919.791.666.666.667,9.790.875,349.375,748.958.333.333.333,8.8,5.7,13.6,NA,NA,NA,2.67,20.65,30.46,52.17,10.75,1.47
2013-04-29,972.916.666.666.667,140.25,962.083.333.333.333,979.389.583.333.334,201.041.666.666.667,109.333.333.333.333,13.1,8.7,39,44,19522,225.386.743.161.561,9.87,35.8,58.91,36.9,21.08,1.36
2013-04-30,163.541.666.666.667,237.541.666.666.667,765.833.333.333.333,9.826.625,264.875,1.340.625,18.1,10.3,3.6,31,8962,345.904.931.934.836,5.85,25.23,43.5,52.42,13.29,1.23
2013-05-01,152.916.666.666.667,2.454.375,601.041.666.666.667,986.222.916.666.666,322.208.333.333.333,141.666.666.666.667,20.5,8.9,0,9,4697,191.611.667.021.503,4.19,18.06,29.62,64.5,20.33,1.62
2013-05-02,1.9875,2.074.375,645.625,98.601.875,254.854.166.666.667,147.791.666.666.667,20.7,10,0,32,12929,247.505.607.548.921,15.04,39.69,77.33,48.88,32.61,3.4
2013-05-03,190.416.666.666.667,241.041.666.666.667,638.333.333.333.333,987.689.583.333.333,292.291.666.666.667,143.145.833.333.333,21,9.2,0,13,5333,243.765.235.327.208,6.15,29.41,51.17,55.25,18.71,1.73
2013-05-04,1.85,242.020.833.333.333,627.708.333.333.333,988.870.833.333.333,294.916.666.666.667,1.564.375,22.1,10.4,3.6,6,3019,198.741.305.067.903,4.65,24.31,39.58,61.67,23.83,3.36
2013-05-05,148.541.666.666.667,223.458.333.333.333,698.541.666.666.667,988.847.916.666.667,308.229.166.666.667,162.333.333.333.333,24.2,10,0.3,NA,NA,NA,2.88,16.73,26.17,64.17,17.17,2.38
2013-05-06,186.875,230.125,550.208.333.333.333,98.808.125,342.708.333.333.333,189.270.833.333.333,25.7,11.6,0,33,10544,312.974.203.338.391,11.6,35.38,65,49.75,32.25,2.83
2013-05-07,157.916.666.666.667,267.875,546.041.666.666.667,985.810.416.666.667,282.520.833.333.333,205.666.666.666.667,27.3,15.6,0,26,11348,229.115.262.601.339,15.77,44.48,79.58,48.54,40.71,3.79
2013-05-08,117.083.333.333.333,187.104.166.666.667,591.875,984.95,227.708.333.333.333,207.583.333.333.333,27,15,0,26,12325,210.953.346.855.984,12.2,46.93,76.21,51.38,39.88,2.37
2013-05-09,150.833.333.333.333,199.541.666.666.667,73.125,9.855.875,223.479.166.666.667,1.870.625,23.9,14.4,0,18,9242,194.763.038.303.398,8.52,29.67,51.17,49.12,23.88,1
2013-05-10,252.916.666.666.667,195.75,743.125,98.705.625,207.666.666.666.667,173.416.666.666.667,21.4,14.2,0,31,11921,260.045.298.213.237,3.75,18.98,31.17,53.58,23.54,01.02
2013-05-11,184.791.666.666.667,179.416.666.666.667,718.958.333.333.333,988.858.333.333.333,295.895.833.333.333,171.041.666.666.667,23.4,12.5,0,5,3114,160.565.189.466.924,1.88,10.83,17.17,76.92,22.58,1.11
2013-05-12,230.416.666.666.667,2.206.875,732.083.333.333.333,9.907.125,264.166.666.666.667,149.791.666.666.667,19.9,11.9,0,1,1014,986.193.293.885.602,1.46,9.5,14.08,75.96,21.71,01.02
2013-05-13,154.583.333.333.333,228.125,744.375,989.739.583.333.333,3.203.125,1.599.375,22.4,10.1,0,24,11195,214.381.420.276.909,9.17,18.4,38.92,59.54,28.71,1.19
2013-05-14,933.333.333.333.334,236.020.833.333.333,817.916.666.666.667,982.195.833.333.333,954.166.666.666.667,151.958.333.333.333,19.5,12.9,1.3,28,12961,216.032.713.525.191,9.38,26.5,46.62,39.62,27.33,1.62
2013-05-15,172.083.333.333.333,216.75,900.625,97.185.625,787.291.666.666.667,134.625,18.3,9.8,40,21,8170,25.703.794.369.645,6.98,28.25,48.04,37.08,21.04,1
2013-05-16,2.325,245.625,753.541.666.666.667,970.197.916.666.667,211.395.833.333.333,115.520.833.333.333,15.2,7.8,0.9,14,8452,165.641.268.338.855,3.38,17.6,29.33,60.59,11.75,01.08
2013-05-17,252.916.666.666.667,184.208.333.333.333,688.125,971.735.416.666.667,322.354.166.666.667,137.916.666.666.667,18.6,7.6,0.4,12,6538,183.542.367.696.543,8.31,26.86,50.08,56.88,23.21,1.14
2013-05-18,273.958.333.333.333,273.395.833.333.333,721.666.666.666.667,975.385.416.666.667,216.354.166.666.667,1.283.125,17.8,9.8,10.1,6,3001,199.933.355.548.151,1.98,10.04,15.96,75.33,12.75,1.11
2013-05-19,185.833.333.333.333,2.734.375,731.666.666.666.667,984.5,1.996.875,123.229.166.666.667,18.5,9.1,3.9,1,534,187.265.917.602.996,1.83,13.29,18.67,67.54,14.29,1.28
2013-05-20,157.083.333.333.333,194.541.666.666.667,884.583.333.333.333,988.577.083.333.333,123.666.666.666.667,1.120.625,14.2,8.7,5.3,30,14924,201.018.493.701.421,4.19,26.88,42,51.46,17.08,01.04
2013-05-21,155.625,215.645.833.333.333,750.208.333.333.333,985.677.083.333.333,233.416.666.666.667,132.645.833.333.333,18.8,8.4,0,45,13346,337.179.679.304.661,13.69,23.92,57.88,47.21,23.88,1.47
2013-05-22,266.666.666.666.667,3.230.625,582.083.333.333.333,981.508.333.333.333,351.625,17.65,25.6,11.6,0,28,10318,271.370.420.624.152,4.25,20.29,33.46,62.04,19.83,1.53
2013-05-23,247.916.666.666.667,2.939.375,530.625,981.652.083.333.333,338.833.333.333.333,173.291.666.666.667,23.9,11.9,0,27,14154,190.758.796.100.042,3.69,16.83,28.75,64.54,22.79,1.34
2013-05-24,297.708.333.333.333,2.206.875,631.666.666.666.667,983.927.083.333.333,298.125,1.308.125,18.1,9.4,0,25,9596,260.525.218.841.184,2.92,13.98,25.12,75.67,26.33,01.06
2013-05-25,299.583.333.333.333,204.333.333.333.333,627.708.333.333.333,985.622.916.666.667,331.541.666.666.667,130.375,18.3,8.5,0,10,6096,164.041.994.750.656,2.52,11.92,20.75,77.21,22.83,1.34
2013-05-26,212.708.333.333.333,213.541.666.666.667,748.333.333.333.333,987.658.333.333.333,275.354.166.666.667,14.325,20.2,9.6,0,5,2645,189.035.916.824.197,02.08,12.77,19.08,72,24.17,1.63
2013-05-27,191.875,194.375,765.625,981.691.666.666.667,271.770.833.333.333,154.166.666.666.667,20.3,11.7,0,35,14036,249.358.791.678.541,8,20.5,40.25,54.12,28,1.38
2013-05-28,215.416.666.666.667,249.020.833.333.333,741.875,977.864.583.333.333,2.450.625,149.145.833.333.333,21.5,10.7,0,26,12344,210.628.645.495.787,13.29,21.79,50.25,49.96,27.12,1.43
2013-05-29,323.541.666.666.667,288.125,531.041.666.666.667,979.114.583.333.333,3.701.875,14,19,9.8,0,24,10008,239.808.153.477.218,3.43,14.26,26,57.19,22.08,1.32
2013-05-30,208.125,300.541.666.666.667,53.625,981.460.416.666.666,243.604.166.666.667,148.666.666.666.667,21,8.9,0,41,13408,305.787.589.498.807,7.71,22.12,43.96,50.46,21.96,01.04
2013-05-31,187.291.666.666.667,251.708.333.333.333,615.416.666.666.667,98.195.625,175.875,151.395.833.333.333,22,12,0,44,17609,249.872.224.430.689,2.78,21.5,29.58,82.96,24.38,01.07
2013-06-01,316.458.333.333.333,2.974.375,39.75,984.552.083.333.333,351.104.166.666.667,202.854.166.666.667,27.1,14.9,0,17,8547,198.900.198.900.199,1.96,16.06,23.62,88.58,20.42,1.74
2013-06-02,167.708.333.333.333,197.229.166.666.667,559.791.666.666.667,986.816.666.666.666,304.479.166.666.667,188.875,27,13.9,0,1,611,16.366.612.111.293,1.92,12.31,20.12,79.88,20.29,1
2013-06-03,218.958.333.333.333,204.958.333.333.333,658.541.666.666.667,98.719.375,362.125,176.916.666.666.667,23.6,13.5,0,33,11589,284.752.782.811.287,5.67,24.15,43.25,59.42,25.58,1.88
2013-06-04,2,228.479.166.666.667,591.458.333.333.333,98.568.125,350.520.833.333.333,183.458.333.333.333,25.1,13.2,0,28,12604,222.151.697.873.691,7.35,20.85,40.71,69.79,30.87,2.98
2013-06-05,165.625,245.041.666.666.667,536.458.333.333.333,9.855.125,305.020.833.333.333,186.666.666.666.667,25.8,12.2,0,22,8652,254.276.467.868.701,10.62,25.62,49.71,65.17,29.61,3.53
2013-06-06,211.666.666.666.667,214.583.333.333.333,547.083.333.333.333,987.047.916.666.667,352.479.166.666.667,192.520.833.333.333,25.6,13.2,0,21,9683,216.874.935.453.888,13.33,32.54,64.29,61.96,35.17,3.68
2013-06-07,148.333.333.333.333,203.916.666.666.667,537.708.333.333.333,986.795.833.333.333,2.951.875,204.333.333.333.333,27,14.9,0,7,3460,202.312.138.728.324,9.67,26.31,53.75,61.04,36.96,3.5
2013-06-08,184.375,249.270.833.333.333,73.375,982.995.833.333.333,2.581.875,168.625,21.5,11.2,25.4,7,3631,192.784.356.926.467,2.19,15.48,23.12,68.58,15.92,3.32
2013-06-09,198.541.666.666.667,278.083.333.333.333,740.625,980.227.083.333.333,237.104.166.666.667,165.958.333.333.333,19.7,12,1.5,1,385,25.974.025.974.026,3.1,16.5,26.46,52.38,16.33,3.77
2013-06-10,177.083.333.333.333,2.191.875,68.875,98.504.375,335.770.833.333.333,186.625,25.3,12.2,0,43,18479,232.696.574.489.962,10.08,20.19,43.12,61.1,20.29,4.39
2013-06-11,133.125,185.854.166.666.667,757.083.333.333.333,987.575,3.158.125,203.083.333.333.333,27.5,13.8,0,20,9521,210.061.968.280.643,9.4,30.48,56.17,62.42,31.88,2.28
2013-06-12,172.708.333.333.333,228.708.333.333.333,62.625,990.027.083.333.333,351.375,219.083.333.333.333,27.4,15.6,0,18,6377,282.264.387.643.092,7.65,25.12,45.25,72.67,30.83,1.49
2013-06-13,154.166.666.666.667,214.791.666.666.667,51.75,98.861.875,340,235.354.166.666.667,31.3,17,0,36,15244,236.158.488.585.673,10.44,31.81,59.25,69.62,35.46,1.43
2013-06-14,169.166.666.666.667,245.5,553.125,987.729.166.666.666,336.458.333.333.333,232.520.833.333.333,29.5,17.6,0,21,8866,236.859.914.279.269,6.28,22.88,44.33,57.42,26.67,01.05
2013-06-15,158.333.333.333.333,222.041.666.666.667,47.25,987.210.416.666.667,336.333.333.333.333,235.479.166.666.667,31.8,17.1,0,NA,NA,NA,4.9,21.54,36.62,70.12,25.17,1.34
2013-06-16,173.125,198.791.666.666.667,507.291.666.666.667,985.477.083.333.333,340.666.666.666.667,235.229.166.666.667,30.9,17.3,0,NA,NA,NA,2.75,21.52,31.5,74.29,23.33,1.77
2013-06-17,227.083.333.333.333,167.333.333.333.333,723.958.333.333.333,980.897.916.666.667,2.849.375,221.395.833.333.333,27.7,17.4,0,21,9908,211.949.939.442.874,3.29,22.1,34.62,75.54,46.67,1.11
2013-06-18,197.708.333.333.333,134.541.666.666.667,85.75,980.008.333.333.333,102.75,2.074.375,24.5,18.8,0.9,25,10323,2.421.776.615.325,2.71,21.67,32.5,69.54,54.04,1
2013-06-19,184.583.333.333.333,279.770.833.333.333,609.583.333.333.333,982.841.666.666.667,299.604.166.666.667,201.354.166.666.667,25.9,15.1,0.1,23,9977,230.530.219.504.861,2.75,12.54,22.42,70.88,19,1
2013-06-20,165.833.333.333.333,269.104.166.666.667,569.791.666.666.667,986.545.833.333.333,253.604.166.666.667,1.988.125,25.7,15.6,0,20,8731,229.068.835.184.973,3.77,14.04,28.38,66.21,17.17,1.17
2013-06-21,148.958.333.333.333,2.023.125,692.916.666.666.667,988.752.083.333.333,229.104.166.666.667,202.125,26.2,14.3,0.1,31,11180,277.280.858.676.207,7.69,26.04,46.33,61.38,30.17,01.07
2013-06-22,169.583.333.333.333,248.270.833.333.333,666.041.666.666.667,99.033.125,304.333.333.333.333,206.458.333.333.333,27.3,15.3,0,8,4500,177.777.777.777.778,03.06,15.73,25.88,64.96,19.88,01.02
2013-06-23,224.375,155.958.333.333.333,746.458.333.333.333,990.320.833.333.333,217.020.833.333.333,201.541.666.666.667,25.5,15.7,0,6,3263,183.879.865.154.766,2.31,15.23,23.12,59.04,28.58,1.11
2013-06-24,2.575,244.208.333.333.333,627.916.666.666.667,992.689.583.333.333,313.770.833.333.333,18.25,23.9,14,0,2,1310,152.671.755.725.191,1.9,10.31,17.62,63.04,32.17,1.11
2013-06-25,173.333.333.333.333,216.895.833.333.333,685.625,992.666.666.666.666,338.25,194.958.333.333.333,25.8,14.4,0,51,18912,269.670.050.761.421,8.72,17.04,43.33,57,33.21,1.16
2013-06-26,1.7,2.006.875,694.791.666.666.667,99.313.125,317.270.833.333.333,195.583.333.333.333,26.8,15.2,0,14,5782,242.130.750.605.327,6.17,19.12,36.04,57.21,34.74,1.21
2013-06-27,208.125,220.166.666.666.667,649.166.666.666.667,992.25,326.166.666.666.667,209.375,28.1,15.6,0,31,9158,338.501.856.300.502,11.35,23.15,48.96,57.58,39.09,1.79
2013-06-28,150.208.333.333.333,249.208.333.333.333,653.541.666.666.667,9.922.375,2.681.875,212.104.166.666.667,27.3,16.2,0,38,17365,218.830.981.860.063,7.23,15.7,39.96,74.54,33.38,1.67
2013-06-29,150.416.666.666.667,229.479.166.666.667,647.083.333.333.333,993.260.416.666.666,309.375,223.895.833.333.333,29.8,16.7,0,2,1550,129.032.258.064.516,3.15,15.69,23.88,77.38,32,1.91
2013-06-30,166.666.666.666.667,221.979.166.666.667,690.833.333.333.333,990.860.416.666.667,2.686.875,2.136.875,25.8,16.7,0,12,4518,265.604.249.667.995,1.75,15.27,20.92,68.79,29.92,1.74
2013-07-01,224.375,197.708.333.333.333,565.416.666.666.667,988.139.583.333.334,345.895.833.333.333,226.354.166.666.667,28.5,17.4,0,17,8593,197.835.447.457.233,6.44,28.27,46.29,59.17,32.46,2
2013-07-02,197.708.333.333.333,170.375,69.5,987.608.333.333.333,323.125,216.791.666.666.667,28.5,17.3,0,18,6032,29.840.848.806.366,2.79,17.96,25.58,58.25,26.96,1.81
2013-07-03,203.125,179.583.333.333.333,733.958.333.333.333,98.834.375,311.458.333.333.333,220.145.833.333.333,28.3,17.5,0,14,5429,257.874.378.338.552,07.04,19.6,36.67,45.79,32.25,1.38
2013-07-04,209.583.333.333.333,2.029.375,739.375,99.059.375,341.145.833.333.333,229.541.666.666.667,29.6,18.7,0,19,8751,217.118.043.652.154,05.02,15.59,29.54,42.04,33,1
2013-07-05,158.333.333.333.333,200.208.333.333.333,678.125,992.760.416.666.667,346.770.833.333.333,24.575,32.3,18.4,0,15,5783,259.380.944.146.637,11.33,21.67,47.88,41,37.17,1
2013-07-06,204.583.333.333.333,217.791.666.666.667,499.166.666.666.667,992.308.333.333.333,350.333.333.333.333,262.833.333.333.333,33.1,19.6,0,1,482,20.746.887.966.805,4.21,24.02,38.38,62.38,36.29,1
2013-07-07,262.291.666.666.667,2.059.375,452.916.666.666.667,991.441.666.666.667,342.875,2.660.625,32.1,20.5,0,8,4922,16.253.555.465.258,2.21,20.5,29.38,79.88,33,01.04
2013-07-08,188.958.333.333.333,196.166.666.666.667,477.083.333.333.333,991.241.666.666.667,307.416.666.666.667,26.325,31.8,21.3,0,21,9998,21.004.200.840.168,8.76,42.84,70.24,54.1,44,1.29
2013-07-09,219.166.666.666.667,221.083.333.333.333,481.875,98.880.625,333.666.666.666.667,258.291.666.666.667,32.2,19.8,0,13,4950,262.626.262.626.263,8.26,32.8,54,70.12,40.04,1.85
2013-07-10,192.708.333.333.333,217.875,564.166.666.666.667,984.845.833.333.333,322.104.166.666.667,254.145.833.333.333,33.3,19.1,0.8,17,7862,216.229.966.929.534,6.46,22.48,37.67,79.5,37.38,1
2013-07-11,176.041.666.666.667,214.708.333.333.333,748.541.666.666.667,983.783.333.333.333,2.079.375,230.604.166.666.667,30.8,19.6,1.3,26,13244,196.315.312.594.382,4.69,30.46,47.29,57.58,35.25,1
2013-07-12,192.291.666.666.667,221.479.166.666.667,592.916.666.666.667,98.598.125,3.340.625,257.875,33.4,18.3,0,10,3360,297.619.047.619.048,7.18,27.58,50.5,54.33,32.29,1.33
2013-07-13,204.166.666.666.667,227.541.666.666.667,569.791.666.666.667,987.008.333.333.333,317.416.666.666.667,26.45,33.7,21.2,0,7,3119,224.430.907.342.097,2.48,18.25,25.08,68.42,24,1
