date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,no,no2,nox,o3,pm10,pm2.5,so2,casos_total,poblacio_total,incidencia_1000
2012-06-10,228.125,213.479.166.666.667,681.458.333.333.333,98.239.375,296.895.833.333.333,229.375,28.6,18.7,0,12.83,32.62,51.62,NA,NA,NA,1.62,0,0,NA
2012-06-11,291.041.666.666.667,162.166.666.666.667,749.791.666.666.667,9.793.375,210.208.333.333.333,19.6,23.5,16.3,0,4.57,21.87,27.96,NA,NA,NA,3.74,19,9941,191.127.653.153.606
2012-06-12,2.3125,259.25,569.583.333.333.333,981.85,351.854.166.666.667,188.916.666.666.667,26.7,13.1,0,8.15,34.15,46.31,NA,NA,NA,1,8,4664,171.526.586.620.926
2012-06-13,262.916.666.666.667,168.479.166.666.667,720.833.333.333.333,987.904.166.666.667,265,1.845.625,22.5,13.5,0,11.42,35.29,51.5,NA,NA,NA,01.08,22,8141,270.237.071.612.824
2012-06-14,179.791.666.666.667,200.875,630.416.666.666.667,987.635.416.666.667,3.210.625,2.060.625,27.2,15.6,0,24.75,52.21,89.62,NA,NA,NA,1.79,20,9621,207.878.598.898.243
2012-06-15,181.458.333.333.333,225.25,510.833.333.333.333,989.229.166.666.667,3.704.375,223.020.833.333.333,31.2,15.1,0,11.88,43.54,61.29,NA,NA,NA,1.71,7,4166,168.026.884.301.488
2012-06-16,142.916.666.666.667,246.875,448.333.333.333.333,989.377.083.333.333,367.958.333.333.333,236.854.166.666.667,31.2,16.1,0,5.75,39.54,48,NA,NA,NA,3.21,3,2414,124.275.062.137.531
2012-06-17,185.833.333.333.333,196.895.833.333.333,561.666.666.666.667,988.85,357.770.833.333.333,225.979.166.666.667,28.1,16.7,0,15.21,51.54,74.25,NA,NA,NA,3.42,3,2505,119.760.479.041.916
2012-06-18,216.458.333.333.333,195.333.333.333.333,569.791.666.666.667,986.983.333.333.333,320.666.666.666.667,225.145.833.333.333,28.5,17.3,0,24.12,75.79,112.25,NA,NA,NA,2.96,29,14620,198.358.413.132.695
2012-06-19,1.3625,186.270.833.333.333,581.458.333.333.333,984.889.583.333.334,185.895.833.333.333,232.354.166.666.667,29.7,18.1,0,12.58,59.54,78.46,NA,NA,NA,2.92,7,2673,261.878.039.655.817
2012-06-20,185.625,214.125,517.291.666.666.667,982.670.833.333.333,343.416.666.666.667,25.825,32.8,20.1,0,16.18,49.41,73.59,NA,NA,NA,4.23,12,6398,187.558.612.066.271
2012-06-21,2.025,230,47.125,982.539.583.333.334,356.354.166.666.667,280.104.166.666.667,35.3,21,0,11.08,46.46,62.75,NA,NA,NA,4.29,10,8296,120.540.019.286.403
2012-06-22,226.458.333.333.333,214.979.166.666.667,577.708.333.333.333,99.003.125,356.791.666.666.667,238.208.333.333.333,30.4,18.7,0,6.83,44.96,55.08,NA,NA,NA,4.88,14,7373,18.988.200.189.882
2012-06-23,147.916.666.666.667,237.770.833.333.333,483.541.666.666.667,992.214.583.333.333,351.416.666.666.667,237.125,29.9,17.5,0,3.25,34.79,39.42,NA,NA,NA,3.58,2,1272,157.232.704.402.516
2012-06-24,202.916.666.666.667,210.5,482.291.666.666.667,990.935.416.666.667,350.229.166.666.667,2.468.125,30.6,18,0,15.5,61.29,84.42,NA,NA,NA,3.21,6,3138,191.204.588.910.134
2012-06-25,2.1,222.020.833.333.333,467.708.333.333.333,989.841.666.666.667,357.145.833.333.333,262.770.833.333.333,33.2,19.7,0,19.88,62.42,92.58,NA,NA,NA,3.17,19,12510,151.878.497.202.238
2012-06-26,189.166.666.666.667,222,435.625,99.053.125,352.125,270.104.166.666.667,34.1,21.3,0,19.21,47.75,76.33,NA,NA,NA,2.58,1,1229,81.366.965.012.205
2012-06-27,184.166.666.666.667,219.125,39,9.876.625,339.833.333.333.333,2.799.375,34.3,23.2,0,13.42,56.25,76.25,NA,NA,NA,3.42,19,9467,200.697.158.550.755
2012-06-28,188.125,196.229.166.666.667,587.916.666.666.667,982.058.333.333.333,332,275.958.333.333.333,35.3,22,0.4,27.04,61.12,102.08,NA,NA,NA,3.21,15,9366,160.153.747.597.694
2012-06-29,151.041.666.666.667,163.104.166.666.667,70.875,981.097.916.666.667,3.309.375,265.270.833.333.333,34,20.7,0,14.04,50.79,71.88,NA,NA,NA,3.71,5,2244,222.816.399.286.988
2012-06-30,178.958.333.333.333,157.291.666.666.667,73.875,981.577.083.333.333,320.125,2.566.875,32.2,20.7,0,2.29,21.25,23.75,NA,NA,NA,2.83,8,4949,161.648.817.943.019
2012-07-01,172.708.333.333.333,284.979.166.666.667,810.833.333.333.333,984.333.333.333.333,721.458.333.333.333,185.791.666.666.667,22.7,14.6,34,11.67,31.5,48.67,NA,NA,NA,1.62,6,4477,134.018.315.836.498
2012-07-02,165.833.333.333.333,262.333.333.333.333,674.166.666.666.667,988.095.833.333.334,356.020.833.333.333,200.208.333.333.333,26.8,14.1,0.1,18.46,35.08,62.92,NA,NA,NA,2.25,11,7903,139.187.650.259.395
2012-07-03,154.375,266.25,68.75,9.872.875,347.333.333.333.333,224.041.666.666.667,28.9,17.2,0,18.42,47,74.67,NA,NA,NA,1.79,12,7911,151.687.523.701.176
2012-07-04,163.958.333.333.333,204.708.333.333.333,703.125,982.497.916.666.666,349.333.333.333.333,232.020.833.333.333,29.2,19,0,12.81,39.48,58.29,NA,NA,NA,1.43,16,10484,152.613.506.295.307
2012-07-05,206.666.666.666.667,177.791.666.666.667,794.166.666.666.667,980.760.416.666.667,227.833.333.333.333,219.270.833.333.333,26.2,18.5,0.1,10.71,44.79,60.75,NA,NA,NA,1.88,6,2121,282.885.431.400.283
2012-07-06,166.666.666.666.667,196.416.666.666.667,72,984.025,259.291.666.666.667,215.166.666.666.667,28,17.3,0,10.58,34.5,49.92,NA,NA,NA,2.38,1,1034,967.117.988.394.584
2012-07-07,162.291.666.666.667,187.729.166.666.667,75.375,983.902.083.333.333,180.104.166.666.667,2.151.875,25.7,15.9,0,4.62,26.71,33.21,NA,NA,NA,2.38,6,4376,137.111.517.367.459
2012-07-08,2.3125,1.850.625,757.916.666.666.667,98.445.625,292.708.333.333.333,220.854.166.666.667,26.8,18.3,0,17.83,46,73.04,NA,NA,NA,2.58,2,1966,101.729.399.796.541
2012-07-09,172.083.333.333.333,239.645.833.333.333,665.833.333.333.333,984.883.333.333.334,332.458.333.333.333,231.770.833.333.333,30,17.8,0,19.17,46.29,75.21,NA,NA,NA,2.21,10,5722,174.764.068.507.515
2012-07-10,126.041.666.666.667,200.854.166.666.667,744.375,984.439.583.333.333,255.979.166.666.667,243.479.166.666.667,31.3,18.7,0,10.54,43.92,59.58,NA,NA,NA,1.88,8,4969,160.998.188.770.376
2012-07-11,277.083.333.333.333,159.583.333.333.333,700.833.333.333.333,98.753.125,302.895.833.333.333,233.708.333.333.333,27.8,19.5,0,5.17,26.92,34.12,NA,NA,NA,1.54,4,3273,122.212.037.885.732
2012-07-12,220.208.333.333.333,216,658.541.666.666.667,989.204.166.666.667,352.541.666.666.667,231.520.833.333.333,28.7,18.9,0,5.42,22.96,30.46,NA,NA,NA,1.42,11,4516,243.578.387.953.942
2012-07-13,179.166.666.666.667,171.875,750.416.666.666.667,983.916.666.666.667,307.645.833.333.333,248.625,30.3,21.7,0,5.25,32.46,39.96,NA,NA,NA,1.58,6,3988,150.451.354.062.187
2012-07-14,270.625,1.739.375,736.875,983.870.833.333.334,245.895.833.333.333,22.575,27.1,19,0,4,26.12,31.79,NA,NA,NA,1.88,4,2856,140.056.022.408.964
2012-07-15,289.375,2.005.625,634.166.666.666.667,99.036.875,326.333.333.333.333,225.416.666.666.667,28,18.5,0,4.67,23.71,30.29,NA,NA,NA,2.83,8,4835,165.460.186.142.709
2012-07-16,2.35,210.541.666.666.667,688.541.666.666.667,99.571.875,3.279.375,22.425,27,19.4,0,12.5,36.58,54.92,NA,NA,NA,3.46,14,8821,158.712.164.153.724
2012-07-17,148.333.333.333.333,233.083.333.333.333,588.333.333.333.333,995.25,3.516.875,258.645.833.333.333,33.1,18.7,0,19.04,35.83,64.29,NA,NA,NA,3.58,5,4963,100.745.516.824.501
2012-07-18,222.708.333.333.333,252.083.333.333.333,33,989.935.416.666.667,349.666.666.666.667,282.208.333.333.333,35,21.4,0,23,49.77,84.18,NA,NA,NA,4.78,4,3418,117.027.501.462.844
2012-07-19,171.458.333.333.333,218.541.666.666.667,40.75,98.508.125,341.5,276.958.333.333.333,34.5,21.1,0,22.58,51.08,84.96,NA,NA,NA,3.5,10,6351,157.455.518.815.934
2012-07-20,214.583.333.333.333,192.479.166.666.667,644.791.666.666.667,984.454.166.666.667,329.791.666.666.667,250.416.666.666.667,32.4,18.7,0,4,20.38,25.58,NA,NA,NA,1.62,6,3153,190.294.957.183.635
2012-07-21,257.708.333.333.333,222.041.666.666.667,72.125,987.804.166.666.667,227.229.166.666.667,227.854.166.666.667,27.5,19.1,0,1.96,14.79,17,NA,NA,NA,2.29,3,905,331.491.712.707.182
2012-07-22,242.291.666.666.667,179.25,700.208.333.333.333,988.577.083.333.333,2.608.125,224.895.833.333.333,27.3,19.4,0,11,44.08,60.17,NA,NA,NA,2.42,4,4730,845.665.961.945.032
2012-07-23,2.375,206.833.333.333.333,63,987.433.333.333.333,293.395.833.333.333,2.195.625,27.5,17.3,0,12.54,37.08,55.5,NA,NA,NA,1.92,10,7108,140.686.550.365.785
2012-07-24,179.791.666.666.667,243.291.666.666.667,531.041.666.666.667,985.964.583.333.333,321.645.833.333.333,2.301.875,30.2,15.9,0,20.62,41.96,72.79,NA,NA,NA,2.12,6,3080,194.805.194.805.195
2012-07-25,198.541.666.666.667,225.395.833.333.333,617.083.333.333.333,9.857.875,328.770.833.333.333,24.2,30.3,18.8,0,14.42,60.5,82.08,NA,NA,NA,1.62,1,848,117.924.528.301.887
2012-07-26,211.666.666.666.667,1.818.125,54.75,98.599.375,284.25,257.625,32.4,20.5,0,16.96,56.58,81.71,NA,NA,NA,1.88,11,8476,12.977.819.726.286
2012-07-27,1.7875,180.229.166.666.667,598.125,983.266.666.666.667,2.643.125,254.833.333.333.333,33.6,21.1,0.4,6.33,34.67,44,NA,NA,NA,1.17,12,7524,159.489.633.173.844
2012-07-28,243.125,208.645.833.333.333,573.125,98.278.125,297.604.166.666.667,2.569.375,33.7,20.4,0.1,3.25,25.83,30.04,NA,NA,NA,1.5,0,0,NA
2012-07-29,218.333.333.333.333,205.791.666.666.667,699.166.666.666.667,986.477.083.333.334,310.604.166.666.667,245.416.666.666.667,30.2,20,0,11.04,37.04,53.33,NA,NA,NA,1.71,8,5158,155.098.875.533.152
2012-07-30,141.458.333.333.333,202.291.666.666.667,732.916.666.666.667,988.85,246.916.666.666.667,24.95,30.8,21.3,0,22.29,46.25,79.83,NA,NA,NA,2.5,10,4491,222.667.557.336.896
2012-07-31,184.791.666.666.667,2.144.375,726.458.333.333.333,987.585.416.666.667,2.735.625,251.479.166.666.667,31.3,20.5,0,18.5,45.21,72.96,NA,NA,NA,1.92,9,5106,176.263.219.741.481
2012-08-01,165.625,221.166.666.666.667,720.208.333.333.333,98.351.875,313.729.166.666.667,269.333.333.333.333,35,21.1,0,12.46,47.29,65.62,NA,NA,NA,1.62,3,2478,121.065.375.302.663
2012-08-02,214.375,179.791.666.666.667,622.916.666.666.667,98.508.125,314.208.333.333.333,2.559.375,32.1,20.6,0,23.59,62.36,98.14,NA,NA,NA,1.73,4,2384,167.785.234.899.329
2012-08-03,2.475,206.416.666.666.667,517.291.666.666.667,98.595.625,322.041.666.666.667,255.416.666.666.667,32.9,20.3,0,10.12,41.96,57.08,NA,NA,NA,2.33,4,2361,169.419.737.399.407
2012-08-04,242.708.333.333.333,1.983.125,574.791.666.666.667,983.041.666.666.667,313.479.166.666.667,249.625,30.5,19.8,0,3.46,28.58,33.12,NA,NA,NA,2.17,2,1280,1.5625
2012-08-05,240.416.666.666.667,194.333.333.333.333,700.625,98.028.125,312.875,245.104.166.666.667,30.3,19.5,0,5.79,32.62,40.88,NA,NA,NA,1,0,0,NA
2012-08-06,219.166.666.666.667,2.119.375,76.5,98.711.875,272.458.333.333.333,220.125,28,18.3,14.4,18.79,43.33,71.67,NA,NA,NA,2.12,17,9974,170.443.152.195.709
2012-08-07,229.375,198.270.833.333.333,659.375,992.045.833.333.333,310.229.166.666.667,229.125,28.9,18.3,0,16.96,52.04,77.54,NA,NA,NA,2.38,5,3502,142.775.556.824.672
2012-08-08,200.833.333.333.333,2.301.875,51.875,990.475,314.25,2.555.625,32.1,19.1,0,20.88,61.42,92.62,NA,NA,NA,2.46,1,1229,81.366.965.012.205
2012-08-09,195.208.333.333.333,223.25,358.125,9.899.125,308.291.666.666.667,271.770.833.333.333,34.5,21.3,0,17.62,60.67,87.21,NA,NA,NA,1.62,4,2333,171.453.064.723.532
2012-08-10,216.041.666.666.667,209.354.166.666.667,460.833.333.333.333,988.825,3.168.125,266.458.333.333.333,32.7,22.3,0,8.71,52.83,65.75,NA,NA,NA,2.62,7,4612,151.777.970.511.709
2012-08-11,179.791.666.666.667,193.770.833.333.333,535.625,98.560.625,2.821.875,2.673.125,33.4,22.1,0,4,31.04,36.54,NA,NA,NA,02.08,8,6521,122.680.570.464.653
2012-08-12,255.208.333.333.333,208.354.166.666.667,681.041.666.666.667,983.527.083.333.333,265.104.166.666.667,243.729.166.666.667,30.4,20.3,0,11.83,27.04,44.42,NA,NA,NA,1.83,6,4402,136.301.681.054.066
2012-08-13,176.875,249.375,666.666.666.666.667,983.333.333.333.333,309.458.333.333.333,248.854.166.666.667,31.3,20.3,0,11.12,24.71,41,NA,NA,NA,1.62,7,4814,145.409.223.099.294
2012-08-14,164.791.666.666.667,242.479.166.666.667,731.458.333.333.333,9.827.125,2.895.625,2.503.125,32,20.2,0,6.5,26.42,35.71,NA,NA,NA,1,3,2818,106.458.481.192.335
2012-08-15,170.833.333.333.333,239.479.166.666.667,680.416.666.666.667,982.639.583.333.333,275.208.333.333.333,266.416.666.666.667,32.1,21,0,9.14,45.36,58.73,NA,NA,NA,1.59,0,0,NA
2012-08-16,184.166.666.666.667,196.395.833.333.333,667.083.333.333.333,986.904.166.666.667,283.479.166.666.667,260.666.666.666.667,31.7,22,0,18.33,48.67,76.38,NA,NA,NA,2.38,5,2811,177.872.643.187.478
2012-08-17,194.166.666.666.667,206.979.166.666.667,611.875,987.454.166.666.667,2.956.875,260.041.666.666.667,33.6,19.7,0,10.12,45,60.08,NA,NA,NA,2.92,4,2960,135.135.135.135.135
2012-08-18,1.775,207.708.333.333.333,56.5,988.197.916.666.667,288.541.666.666.667,26.775,34.5,20.8,0,6.33,42.12,51.62,NA,NA,NA,2.67,0,0,NA
2012-08-19,169.166.666.666.667,230.375,49.25,989.847.916.666.667,2.388.125,284.708.333.333.333,35.9,21.8,0,13.75,45,65.38,NA,NA,NA,3.21,0,0,NA
2012-08-20,172.083.333.333.333,260.75,399.583.333.333.333,989.908.333.333.333,2.788.125,30.025,37.4,24,0,15.54,46.08,69.12,NA,NA,NA,03.08,10,7133,140.193.466.984.439
2012-08-21,212.708.333.333.333,271.958.333.333.333,401.458.333.333.333,987.597.916.666.667,286.375,294.791.666.666.667,35.6,23.5,0,20.08,57.21,87.25,NA,NA,NA,3.67,13,5082,255.804.801.259.347
2012-08-22,1.75,219.145.833.333.333,38.5,9.866.125,2.758.125,29.175,37.1,23,0,20.29,64.04,94.46,NA,NA,NA,3.17,11,6178,178.051.149.239.236
2012-08-23,200.416.666.666.667,230.208.333.333.333,399.375,98.348.125,276.854.166.666.667,288.645.833.333.333,36.8,22.7,0,17.75,45.88,72.29,NA,NA,NA,2.42,3,1401,214.132.762.312.634
2012-08-24,188.125,213.541.666.666.667,669.375,980.514.583.333.334,2.693.125,266.833.333.333.333,33.8,21.1,0,3.92,32.17,37.88,NA,NA,NA,2.17,12,8610,139.372.822.299.652
2012-08-25,234.583.333.333.333,1.834.375,762.291.666.666.667,98.303.125,206.916.666.666.667,260.958.333.333.333,32.5,22.3,0,1.46,11.04,12.04,NA,NA,NA,1.79,0,0,NA
2012-08-26,247.916.666.666.667,220.604.166.666.667,616.458.333.333.333,989.247.916.666.667,284.125,240.583.333.333.333,30,20.3,0,6.92,27.38,37,NA,NA,NA,1.17,6,4434,13.531.799.729.364
2012-08-27,166.041.666.666.667,1.865.625,756.666.666.666.667,98.864.375,187.875,250.791.666.666.667,29.8,21.2,0,11.62,44.25,61.58,NA,NA,NA,2.42,12,6361,188.649.583.398.837
2012-08-28,236.458.333.333.333,1.821.875,761.875,9.886.375,2.200.625,2.578.125,31.8,21.9,0,20.21,41.54,71.75,NA,NA,NA,2.62,7,4234,165.328.294.756.731
2012-08-29,193.958.333.333.333,202,751.458.333.333.333,988.108.333.333.333,241.645.833.333.333,253.104.166.666.667,31.3,20.6,0,19.38,50.5,79.62,NA,NA,NA,1.42,8,7052,113.442.994.895.065
2012-08-30,112.708.333.333.333,173.229.166.666.667,896.458.333.333.333,989.214.583.333.333,76.625,210.666.666.666.667,29.1,16.1,34.9,7.45,35.09,47.48,NA,NA,NA,1.17,5,3195,156.494.522.691.706
2012-08-31,194.583.333.333.333,226.520.833.333.333,576.875,99.095.625,279.729.166.666.667,204.770.833.333.333,27.1,16,0,3.29,31.83,36.67,NA,NA,NA,1.38,6,4164,144.092.219.020.173
2012-09-01,211.666.666.666.667,276.458.333.333.333,404.583.333.333.333,989.364.583.333.333,202.666.666.666.667,189.708.333.333.333,25.3,16,0,3.71,33.75,39.12,NA,NA,NA,1.54,1,643,15.552.099.533.437
2012-09-02,204.375,217.020.833.333.333,460.625,990.245.833.333.333,239.708.333.333.333,193.875,26.3,13.9,0,13.54,52.17,72.38,NA,NA,NA,3.21,0,0,NA
2012-09-03,230.208.333.333.333,273.333.333.333.333,44.625,987.404.166.666.667,253.541.666.666.667,217.354.166.666.667,28.5,16.8,0,16.25,59.08,83.62,NA,NA,NA,2.67,8,5774,138.552.130.239.002
2012-09-04,2.0625,236.145.833.333.333,573.958.333.333.333,986.710.416.666.666,262.895.833.333.333,221.104.166.666.667,29.5,17.7,0,16.75,55,80.21,NA,NA,NA,02.08,6,4690,127.931.769.722.815
2012-09-05,170.833.333.333.333,260.083.333.333.333,627.083.333.333.333,987.483.333.333.333,230.229.166.666.667,23.175,30.1,18.1,0,12.96,43.29,62.5,NA,NA,NA,3.42,5,3963,126.167.045.167.802
2012-09-06,181.875,253.729.166.666.667,611.041.666.666.667,989.870.833.333.333,223,242.354.166.666.667,30.8,19.8,0,26.71,73,113.38,NA,NA,NA,4.67,3,3430,87.463.556.851.312
2012-09-07,1.9625,196.5,680.416.666.666.667,991.579.166.666.667,254.604.166.666.667,236.229.166.666.667,29.9,19.4,0,9.38,45.08,58.83,NA,NA,NA,3.58,7,4906,142.682.429.677.945
2012-09-08,136.458.333.333.333,232.229.166.666.667,713.333.333.333.333,989.329.166.666.667,194.333.333.333.333,2.345.625,29.6,18.8,0,1.83,17.25,19.17,NA,NA,NA,2.29,1,1229,81.366.965.012.205
2012-09-09,1.5125,194.25,724.166.666.666.667,987.552.083.333.333,231.5,237.875,30.6,19.3,0,8.25,37.04,49.25,NA,NA,NA,1.17,5,3762,13.290.802.764.487
2012-09-10,146.875,228.75,78.375,987.591.666.666.667,205.270.833.333.333,229.104.166.666.667,29.7,19.3,0,7.29,31.96,42.54,NA,NA,NA,1.46,4,2549,156.924.284.032.954
2012-09-11,167.708.333.333.333,2.250.625,779.375,9.877.125,193.208.333.333.333,226.458.333.333.333,28.6,18,0,25.58,42.62,81.38,NA,NA,NA,2.71,7,6021,116.259.757.515.363
2012-09-12,202.916.666.666.667,197.104.166.666.667,721.666.666.666.667,98.490.625,210.875,2.341.875,30.7,18.2,0,5.25,28.58,36,NA,NA,NA,2.83,10,6288,159.033.078.880.407
2012-09-13,227.291.666.666.667,269.645.833.333.333,507.083.333.333.333,983.564.583.333.333,239.291.666.666.667,205.375,27.8,15.8,0,28.88,63.25,107.25,NA,NA,NA,3.42,5,3975,125.786.163.522.013
2012-09-14,177.291.666.666.667,282.145.833.333.333,453.541.666.666.667,9.840.375,265.354.166.666.667,214.916.666.666.667,28.9,16.2,0,12.54,47.83,66.92,NA,NA,NA,1.75,17,11622,146.274.307.348.133
2012-09-15,198.541.666.666.667,213.854.166.666.667,53.5,98.476.875,252.041.666.666.667,220.854.166.666.667,28.9,17.6,0,05.04,34.96,42.12,NA,NA,NA,1,7,6160,113.636.363.636.364
2012-09-16,1.6875,167.625,778.125,985.241.666.666.667,175.541.666.666.667,220.416.666.666.667,27.3,19,0,25.46,55.38,93.96,NA,NA,NA,01.04,2,1584,126.262.626.262.626
2012-09-17,138.125,225.291.666.666.667,831.041.666.666.667,98.528.125,106.145.833.333.333,2.171.875,26.7,18.6,0,39.05,59.59,119.14,NA,NA,NA,1.86,11,4157,264.613.904.257.878
2012-09-18,151.458.333.333.333,178.541.666.666.667,863.958.333.333.333,984.375,808.541.666.666.667,217.479.166.666.667,25,18.9,0,6.96,28.29,38.54,NA,NA,NA,1.71,10,4499,222.271.615.914.648
2012-09-19,117.291.666.666.667,227.125,893.125,98.699.375,739.791.666.666.667,193.729.166.666.667,21.7,17.4,16,32.21,40.88,89.79,NA,NA,NA,1.67,14,6032,23.209.549.071.618
2012-09-20,1.4875,238.083.333.333.333,869.166.666.666.667,989.347.916.666.666,489.583.333.333.333,19.05,21.1,17.1,0,41.54,51.5,114.83,NA,NA,NA,1.75,3,1382,217.076.700.434.153
2012-09-21,152.916.666.666.667,222.25,85.625,98.788.125,147.229.166.666.667,202.666.666.666.667,26.5,16.7,0.1,16.62,35.96,61.17,NA,NA,NA,1,9,5249,171.461.230.710.612
2012-09-22,150.208.333.333.333,212.729.166.666.667,829.791.666.666.667,985.333.333.333.333,160.479.166.666.667,20.55,25,17,0,3.54,28.38,33.25,NA,NA,NA,1.79,10,4545,22.002.200.220.022
2012-09-23,168.541.666.666.667,200.291.666.666.667,833.333.333.333.333,982.491.666.666.667,698.541.666.666.667,2.189.375,25.1,19.3,0,2.67,18.42,21.83,NA,NA,NA,2,2,1735,115.273.775.216.138
2012-09-24,386.875,287.354.166.666.667,536.458.333.333.333,97.994.375,245.354.166.666.667,229.583.333.333.333,28.1,19.4,0,21.88,43.33,76.29,NA,NA,NA,1.88,14,3477,402.645.959.160.195
2012-09-25,256.666.666.666.667,273.104.166.666.667,533.541.666.666.667,9.757.625,211.833.333.333.333,212.583.333.333.333,25.9,18.1,0,26.04,50.71,90.12,NA,NA,NA,2.25,10,4965,201.409.869.083.585
2012-09-26,2.7,275.75,60.75,976.020.833.333.333,158.541.666.666.667,179.729.166.666.667,24.7,11.8,1.1,18.5,48.67,76.42,NA,NA,NA,2.67,19,8039,23.634.780.445.329
2012-09-27,118.333.333.333.333,165.791.666.666.667,711.041.666.666.667,985.870.833.333.333,940.416.666.666.667,161.145.833.333.333,21,11.5,0,27.62,62.25,104.42,NA,NA,NA,3.71,8,4687,170.684.873.053.126
2012-09-28,100.625,126.416.666.666.667,568.541.666.666.667,984.408.333.333.333,816.458.333.333.333,183.208.333.333.333,21.3,15.5,1.7,7.12,45.71,56.25,NA,NA,NA,2.67,12,5725,209.606.986.899.563
2012-09-29,112.291.666.666.667,193,86,98.215.625,11.25,16,19.4,13.9,67.4,2.21,16.12,19.12,NA,NA,NA,2.54,0,0,NA
2012-09-30,150.625,2.466.875,745.208.333.333.333,987.002.083.333.333,176.583.333.333.333,171.125,23.5,13.5,0,14.67,42.08,63.96,NA,NA,NA,2.75,2,1132,176.678.445.229.682
2012-10-01,1.7875,274.104.166.666.667,605.208.333.333.333,989.279.166.666.667,2.259.375,175.041.666.666.667,23.8,12.7,0,30.79,54.25,100.79,NA,NA,NA,2.46,20,10013,19.974.033.756.117
2012-10-02,159.166.666.666.667,223.25,692.916.666.666.667,990.820.833.333.333,193.479.166.666.667,172.854.166.666.667,23.3,11.8,0,39.45,62.77,122.64,NA,NA,NA,2.23,28,15051,18.603.415.055.478
2012-10-03,131.041.666.666.667,221.041.666.666.667,785.625,98.960.625,198.458.333.333.333,1.881.875,25.4,13.2,0,27.42,54.79,96.21,NA,NA,NA,1.88,26,15523,16.749.339.689.493
2012-10-04,106.458.333.333.333,200.604.166.666.667,81.75,987.795.833.333.333,180.166.666.666.667,201.604.166.666.667,27.6,16.2,0,34.58,46.75,99.29,NA,NA,NA,03.04,19,10213,186.037.403.309.508
2012-10-05,151.875,219.75,815.208.333.333.333,98.908.125,209.270.833.333.333,198.104.166.666.667,26.6,15.3,0,17.67,40.21,66.75,NA,NA,NA,3.33,20,10353,193.180.720.564.088
2012-10-06,1.5625,222.145.833.333.333,836.875,989.735.416.666.667,1.965.625,191.166.666.666.667,25.8,13.9,0,8.25,36.75,49,NA,NA,NA,2.38,0,0,NA
2012-10-07,168.541.666.666.667,220.583.333.333.333,706.666.666.666.667,989.816.666.666.667,184.916.666.666.667,210.625,27.1,17.3,0,37.08,63.96,120.12,NA,NA,NA,2.25,2,2272,880.281.690.140.845
2012-10-08,189.375,261.625,692.291.666.666.667,987.914.583.333.333,164.520.833.333.333,218.520.833.333.333,27.2,16.4,0,42,52.88,117.04,NA,NA,NA,2.67,23,10037,229.152.137.092.757
2012-10-09,133.958.333.333.333,221.375,748.125,985.775,1.894.375,221.270.833.333.333,28.8,17.8,0,30.62,47.21,93.62,NA,NA,NA,2.33,18,10035,179.372.197.309.417
2012-10-10,150.416.666.666.667,2.220.625,87.25,984.029.166.666.667,120.541.666.666.667,2.079.375,25.1,17.4,1.9,24.41,35.73,72.77,NA,NA,NA,1.61,21,12603,166.626.993.572.959
2012-10-11,131.875,2.728.125,876.458.333.333.333,980.320.833.333.334,887.916.666.666.667,1.919.375,22.5,16.2,9.3,21.21,27.33,59.33,NA,NA,NA,1.33,11,5387,204.195.284.945.239
2012-10-12,141.666.666.666.667,2.131.875,893.541.666.666.667,984.127.083.333.333,552.291.666.666.667,167.541.666.666.667,19.5,14.9,5.8,9.79,29.12,43.62,NA,NA,NA,1.33,2,1540,12.987.012.987.013
2012-10-13,150.208.333.333.333,256.916.666.666.667,812.083.333.333.333,9.839.375,1.669.375,161.791.666.666.667,20.8,13.2,0.1,07.08,24.42,35.04,NA,NA,NA,2,6,3090,194.174.757.281.553
2012-10-14,256.458.333.333.333,276.395.833.333.333,662.291.666.666.667,97.708.125,1.683.125,172.791.666.666.667,22.7,13.1,1.4,21.5,29.54,61.71,NA,NA,NA,2.58,1,444,225.225.225.225.225
2012-10-15,1.9875,308.625,626.458.333.333.333,979.983.333.333.333,199.520.833.333.333,1.381.875,19.8,9.7,0,52.62,52.08,132.17,NA,NA,NA,3.75,15,8495,176.574.455.562.095
2012-10-16,177.083.333.333.333,2.538.125,612.916.666.666.667,985.089.583.333.333,1.736.875,153.666.666.666.667,21.6,8.7,0,45.67,63.25,132.71,NA,NA,NA,3.71,9,4222,213.169.114.163.903
2012-10-17,141.666.666.666.667,177.125,792.291.666.666.667,983.977.083.333.333,1.308.125,172.020.833.333.333,23.1,12.9,0,31.38,61.67,109.33,NA,NA,NA,2.79,11,5406,203.477.617.462.079
2012-10-18,209.166.666.666.667,1.250.625,914.791.666.666.667,98.090.625,362.916.666.666.667,1.934.375,21.3,17.3,1.4,20.96,51.42,82.96,NA,NA,NA,2.25,15,8357,179.490.247.696.542
2012-10-19,2.35,148.916.666.666.667,967.708.333.333.333,982.410.416.666.667,473.333.333.333.333,194.958.333.333.333,22.2,17.6,14.1,10.75,31,47.08,NA,NA,NA,2.5,18,7584,237.341.772.151.899
2012-10-20,221.666.666.666.667,150.854.166.666.667,949.166.666.666.667,982.183.333.333.333,289.166.666.666.667,19.325,20.9,17.5,2.7,4.5,29.58,36.21,NA,NA,NA,2.58,4,2639,151.572.565.365.669
